incident_date,incident_number,cad_number,alarm_date_time,unit_clear_date_time,street_address,apt_suite_number,neighborhood,incident_type_id,incident_type_desc,alarms,suppression_app_count,suppression_per_count,ems_app_count,ems_per_count,other_app_count,other_per_count,incident_closed,Location
11/15/2014,104,14319104,11/15/2014 02:31:00 PM,11/15/2014 02:38:00 PM,652 MAIN ST,,C. B. D. /,700,"False alarm or false call, other",0,4,10,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
04/15/2014,1,14105001,04/15/2014 12:05:00 AM,04/15/2014 12:15:00 AM,412 DORCHESTER AV,,MOUNT  AUB,746,"Carbon monoxide detector activation, no CO",0,1,4,0,,0,0,1,"CINC 45219
(39.127458611000066, -84.51234819499996)"
07/10/2014,174,14191174,07/10/2014 08:33:00 PM,07/10/2014 08:55:00 PM,100 JOE NUXHALL WY,,C. B. D. /,735,Alarm system sounded due to malfunction,0,2,8,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
09/21/2014,17,14264017,09/21/2014 01:43:00 AM,09/21/2014 01:53:00 AM,476 RIDDLE RD,,CLIFTON/UN,730,"System malfunction, other",0,2,8,0,0,0,0,1,"CINC 45220
(39.143209256000034, -84.52157698599996)"
11/26/2014,64,14330064,11/26/2014 10:54:00 AM,11/26/2014 11:04:00 AM,4001 ROSSLYN DR,,OAKLEY    ,710,"Malicious, mischievous false call, other",0,2,8,0,,0,0,1,"CINC 45208
(39.13723921900004, -84.43727953499996)"
09/20/2014,177,14263177,09/20/2014 04:47:00 PM,09/20/2014 05:02:00 PM,3130 HIGHLAND AV,,CORRYVILLE,743,"Smoke detector activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45267
(39.13665698800003, -84.50151609599999)"
03/01/2014,144,14060144,03/01/2014 07:59:00 PM,03/01/2014 08:08:00 PM,4900 MADISON RD,,MADISONVIL,651,"Smoke scare, odor of smoke",0,1,4,0,,0,0,1,"CINC 45227
(39.15418908500004, -84.38997980499994)"
03/10/2014,169,14069169,03/10/2014 08:19:00 PM,03/10/2014 08:33:00 PM,1608 GLEN PARKER AV,,NORTHSIDE ,746,"Carbon monoxide detector activation, no CO",0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
04/13/2014,151,14103151,04/13/2014 05:45:00 PM,04/13/2014 06:12:00 PM,288 LUDLOW AV,5,CLIFTON   ,111,Fire - Building,0,10,32,1,2,0,0,1,"CINC 45220
(39.143209256000034, -84.52157698599996)"
07/28/2014,98,14209098,07/28/2014 12:46:00 PM,07/28/2014 01:21:00 PM,2401 INGLESIDE AV,9B,EAST WALNU,900,"Special type of incident, other",0,1,4,0,,0,0,1,"CINC 45206
(39.126315875000046, -84.48624774699994)"
08/22/2014,109,14234109,08/22/2014 12:18:00 PM,08/22/2014 12:24:00 PM,1301 MORTEN AV,,HYDE PARK ,745,"Alarm system activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45208
(39.13723921900004, -84.43727953499996)"
02/18/2014,79,14049079,02/18/2014 10:37:00 AM,02/18/2014 10:45:00 AM,0 DANA AV,,NORTH AVON,412,Gas leak (natural gas or LPG),0,1,4,0,0,0,0,1,"CINC 45229
(39.150087400000075, -84.48900682499999)"
09/05/2014,200,14248200,09/05/2014 08:37:00 PM,09/05/2014 09:04:00 PM,861 BEECHER ST,310,WALNUT HIL,413,Oil or other combustible liquid spill,0,4,10,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
04/28/2014,43,14118043,04/28/2014 08:34:00 AM,04/28/2014 08:56:00 AM,1133 CLIFTON HILLS AV,,CLIFTON   ,814,Lightning strike (no fire),0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
06/16/2014,117,14167117,06/16/2014 01:11:00 PM,06/16/2014 01:20:00 PM,1291 MICHIGAN AV,,HYDE PARK ,600,"Good intent call, other",0,0,0,0,0,0,0,1,"CINC 45208
(39.13723921900004, -84.43727953499996)"
06/18/2014,204,14169204,06/18/2014 08:52:00 PM,06/18/2014 09:06:00 PM,5946 BELMONT AV,,COLLEGE  H,151,"Outside rubbish, trash or waste fire",0,1,4,0,,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
12/02/2014,7,14336007,12/02/2014 12:52:00 AM,12/02/2014 01:24:00 AM,744 ELBERON AV,,EAST PRICE,324,Motor vehicle accident with no injuries.,0,3,12,0,,0,0,1,"CINC 45205
(39.11065647500004, -84.57425583299994)"
06/15/2014,29,14166029,06/15/2014 03:33:00 AM,06/15/2014 03:39:00 AM,0 LANGDON FARM RD,,BONDHILL  ,444,Power line down,0,1,4,0,,0,0,1,"CINC 45213
(39.18204926000004, -84.42030794299995)"
10/07/2014,145,14280145,10/07/2014 05:10:00 PM,10/07/2014 05:27:00 PM,4700 EMBRETT CT,,WEST PRICE,743,"Smoke detector activation, no fire - unintentional",0,3,9,0,,0,0,1,"CINC 45238
(39.11445835500007, -84.60720835499995)"
07/09/2014,191,14190191,07/09/2014 10:35:00 PM,07/09/2014 10:56:00 PM,99 2ND ST,GAR,C. B. D. /,353,Removal of victim(s) from stalled elevator,0,2,8,0,,0,0,1,"CINC 45202
(39.107806151000034, -84.51089696299994)"
01/22/2014,95,14022095,01/22/2014 12:33:00 PM,01/22/2014 01:10:00 PM,5801 RHODE ISLAND AV,,BONDHILL  ,444,Power line down,0,1,4,0,,0,0,1,"CINC 45237
(39.19171689800004, -84.45486811699999)"
04/11/2014,7,14101007,04/11/2014 12:51:00 AM,04/11/2014 01:03:00 AM,1185 GROESBECK RD,,COLLEGE  H,324,Motor vehicle accident with no injuries.,0,3,12,0,,0,0,1,"CINC 45224
(39.202557686000034, -84.53928722899997)"
09/21/2014,211,14264211,09/21/2014 11:14:00 PM,09/21/2014 11:38:00 PM,2220 WESTWOOD NORTHERN BV,,EAST  WEST,711,"Municipal alarm system, malicious false alarm",0,2,8,0,,0,0,1,"CINC 45211
(39.152816063000046, -84.60056918599997)"
07/09/2014,180,14190180,07/09/2014 10:00:00 PM,07/09/2014 10:17:00 PM,5816 SHADYMIST LN,,MOUNT AIRY,500,"Service Call, other",0,1,4,0,,0,0,1,"CINC 45223
(39.167489147000026, -84.54787730499999)"
11/25/2014,17,14329017,11/25/2014 05:02:00 AM,11/25/2014 05:29:00 AM,3901 RIVER RD,,RIVERSIDE ,735,Alarm system sounded due to malfunction,0,2,5,0,0,0,0,1,"CINC 45238
(39.11445835500007, -84.60720835499995)"
