incident_date,incident_number,cad_number,alarm_date_time,unit_clear_date_time,street_address,apt_suite_number,neighborhood,incident_type_id,incident_type_desc,alarms,suppression_app_count,suppression_per_count,ems_app_count,ems_per_count,other_app_count,other_per_count,incident_closed,location
06/01/2015,134,15152134,06/01/2015 04:47:00 PM,06/01/2015 04:55:00 PM,0 DALE RD,,BONDHILL  ,550,"Public service assistance, other",0,1,4,0,,0,0,1,"CINC 45237
(39.190463, -84.456023)"
07/18/2015,1,15199001,07/18/2015 12:08:00 AM,07/18/2015 12:39:00 AM,2960 HIGHFOREST LN,310,MOUNT AIRY,442,Overheated motor,0,6,19,0,0,0,0,1,"CINC 45239
(39.206779, -84.579207)"
07/13/2015,135,15194135,07/13/2015 01:54:00 PM,07/13/2015 04:15:00 PM,5122 GRAY RD,,Spring Gro,444,Power line down,0,1,4,0,,0,0,1,"CINC 45223
(39.165238, -84.547839)"
08/14/2015,30,15226030,08/14/2015 05:34:00 AM,08/14/2015 05:50:00 AM,2617 UNIVERSITY CT,,CLIFTON/UN,733,Smoke detector activation due to malfunction,0,2,8,0,,0,0,1,"CINC 45220
(39.146638, -84.52059)"
03/11/2015,74,15070074,03/11/2015 01:04:00 PM,03/11/2015 01:21:00 PM,3900 ROSE HILL AV,,NORTH AVON,743,"Smoke detector activation, no fire - unintentional",0,2,8,0,,0,0,1,"CINC 45229
(39.150081, -84.488259)"
05/07/2015,10,15127010,05/07/2015 01:51:00 AM,05/07/2015 04:25:00 AM,7850 NEWBEDFORD AV,,ROSELAWN  ,131,Passenger vehicle fire,0,2,5,0,,0,0,1,"CINC 45237
(39.190463, -84.456023)"
01/07/2015,169,15007169,01/07/2015 06:49:00 PM,01/07/2015 06:57:00 PM,3603 HARVEY AV,,NORTH AVON,746,"Carbon monoxide detector activation, no CO",0,1,4,0,,0,0,1,"CINC 45229
(39.150081, -84.488259)"
08/01/2015,54,15213054,08/01/2015 06:31:00 AM,08/01/2015 08:49:00 AM,1333 YARMOUTH AV,,BONDHILL  ,251,"Excessive heat, scorch burns with no ignition",0,11,33,1,1,0,0,1,"CINC 45229
(39.150081, -84.488259)"
05/19/2015,150,15139150,05/19/2015 04:29:00 PM,05/19/2015 04:42:00 PM,10 7TH ST,,C. B. D. /,745,"Alarm system activation, no fire - unintentional",0,3,9,0,,0,0,1,"CINC 45202
(39.107972, -84.506386)"
03/13/2015,27,15072027,03/13/2015 07:43:00 AM,03/13/2015 07:55:00 AM,835 POPLAR ST,,WEST  END ,710,"Malicious, mischievous false call, other",0,2,8,0,,0,0,1,"CINC 45214
(39.121323, -84.540297)"
05/02/2015,19,15122019,05/02/2015 02:16:00 AM,05/02/2015 02:36:00 AM,1111 ST GREGORY ST,,MOUNT  ADA,735,Alarm system sounded due to malfunction,0,2,8,0,,0,0,1,"CINC 45202
(39.107972, -84.506386)"
01/15/2015,3,15015003,01/15/2015 12:47:00 AM,01/15/2015 01:01:00 AM,404 READING RD,402,PENDLETON ,733,Smoke detector activation due to malfunction,0,2,8,0,,0,0,1,"CINC 45202
(39.107972, -84.506386)"
