REQUESTID,STRSEGID,REQUESTTYP,Request type cleaned,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,STRSEGID,Additional_COMMENTS,,,,,,,,,,,,,
1,2516573751825174787628,Parking on the sidewalk,Parking on the sidewalk,2/7/2018,Wed,,walks,RIDGETOP WY & OAKTREE PL,Oaktree Pl,Westwood,2516573751825174787628,,,,,,,,,,,,,,
2,3315247840033153148042,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Cars will NOT stop at this crosswalk and it is clearly marked.  I have even seen CPD cars stroll right through instead of yielding to pedestrians.  Please put a traffic light there or have a police officer sit there and hand out tickets.,walks,CENTRAL AV & W 8TH ST,Central Av,West End,3315247840033153148042,"I agree. This occurs every day. Sometimes when you are in the crosswalk cars won't even slow down, let alone stop.",,,,,,,,,,,,,
2,3315247840033153148042,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Cars will NOT stop at this crosswalk and it is clearly marked.  I have even seen CPD cars stroll right through instead of yielding to pedestrians.  Please put a traffic light there or have a police officer sit there and hand out tickets.,walks,CENTRAL AV & W 8TH ST,Central Av,West End,3315247840033153148042,The new parking spaces make it dangerous to cross at this intersection. Please place a stop sign there to make it possible for pedestrians to cross the street.,,,,,,,,,,,,,
2,3315247840033153148042,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Cars will NOT stop at this crosswalk and it is clearly marked.  I have even seen CPD cars stroll right through instead of yielding to pedestrians.  Please put a traffic light there or have a police officer sit there and hand out tickets.,walks,CENTRAL AV & W 8TH ST,Central Av,West End,3315247840033153148042,"Place a ""stop for pedestrian sign"" in the middle of the road, then post an officer to give tickets when vehicles do not stop.",,,,,,,,,,,,,
2,3315247840033153148042,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Cars will NOT stop at this crosswalk and it is clearly marked.  I have even seen CPD cars stroll right through instead of yielding to pedestrians.  Please put a traffic light there or have a police officer sit there and hand out tickets.,walks,CENTRAL AV & W 8TH ST,Central Av,West End,3315247840033153148042,The parking spots make the cars park at an angle so that pedestrians have to walk out into the street to see if it's clear to cross. Especially if trucks are parked near the crosswalk.,,,,,,,,,,,,,
2,3315247840033153148042,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Cars will NOT stop at this crosswalk and it is clearly marked.  I have even seen CPD cars stroll right through instead of yielding to pedestrians.  Please put a traffic light there or have a police officer sit there and hand out tickets.,walks,CENTRAL AV & W 8TH ST,Central Av,West End,3315247840033153148042,"Not uncommon for cars to stop or even park in front of crosswalk, next to the curb on the Centennial side of the street.",,,,,,,,,,,,,
2,3315247840033153148042,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Cars will NOT stop at this crosswalk and it is clearly marked.  I have even seen CPD cars stroll right through instead of yielding to pedestrians.  Please put a traffic light there or have a police officer sit there and hand out tickets.,walks,CENTRAL AV & W 8TH ST,Central Av,West End,3315247840033153148042,"i echo the previous comment.
I routinely experience people not paying attention or not caring and rolling on through the crosswalk.
I have actually seen someone go though and accelerate making intentional extra noise.
make it a stop sign or ticket",,,,,,,,,,,,,
3,3315192865633153438678,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Cars constantly rush through here on red lights.  I'm am so tired of this.  I am so afraid to walk downtown.,walks,CENTRAL AV & W 9TH ST,W 9th St,West End,3315192865633153438678,I agree this is a very dangerous area.  A lot of people hanging in this area.  Cars will just pull up in non-parking area.  People selling drugs on the street corner.,,,,,,,,,,,,,
3,3315192865633153438678,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Cars constantly rush through here on red lights.  I'm am so tired of this.  I am so afraid to walk downtown.,walks,CENTRAL AV & W 9TH ST,W 9th St,West End,3315192865633153438678,This intersection has heavy traffic 4-6pm entering N and S I75. People should stop using this intersection as a pedestrian pickup point - cars are always parked along 9th St waiting to pickup people causing chaos. DESIGNATE NO PARKING ON 9TH HERE!,,,,,,,,,,,,,
3,3315192865633153438678,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Cars constantly rush through here on red lights.  I'm am so tired of this.  I am so afraid to walk downtown.,walks,CENTRAL AV & W 9TH ST,W 9th St,West End,3315192865633153438678,Walk sign too short don't get time to cross over to other side of street before it starts blinking this happens on 7th and Central Ave as well. Needs to make light longer for people to walk across street,,,,,,,,,,,,,
3,3315192865633153438678,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Cars constantly rush through here on red lights.  I'm am so tired of this.  I am so afraid to walk downtown.,walks,CENTRAL AV & W 9TH ST,W 9th St,West End,3315192865633153438678,I agree. There has been at least 3 pedestrians fatally killed on this intersection! City Engineers need to revisit this issue for the safety of the pedestrians who walk this route everyday.,,,,,,,,,,,,,
3,3315192865633153438678,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Cars constantly rush through here on red lights.  I'm am so tired of this.  I am so afraid to walk downtown.,walks,CENTRAL AV & W 9TH ST,W 9th St,West End,3315192865633153438678,"Once vehicles get the green light heading west on W9th, the speed through, hitting high speeds within a 100 yards. Very dangerous for people pulling out of Gateway parking lot.",,,,,,,,,,,,,
3,3315192865633153438678,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Cars constantly rush through here on red lights.  I'm am so tired of this.  I am so afraid to walk downtown.,walks,CENTRAL AV & W 9TH ST,W 9th St,West End,3315192865633153438678,Pedestrians crossing north or south on Central at W 9th get the light at the same time the cars on Central turning onto W 9th get the green light. Vehicles are always cutting off pedestrians in the crosswalk or cars keep moving towards pedestrians.,,,,,,,,,,,,,
4,3313997791233153148042,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,CENTRAL AV & W 7TH ST,W 7th St,West End,3313997791233153148042,,,,,,,,,,,,,,
5,3315247840033153148042,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,,walks,CENTRAL AV & W 7TH ST,Central Av,West End,3315247840033153148042,,,,,,,,,,,,,,
6,3275178531032761205201,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"The marked crosswalk is not under a streetlight, but between two lights, which puts it in a ""blind spot"".",drives,WOOLPER AV & MCALPIN AV,McAlpin Av,Clifton,3275178531032761205201,I agree,,,,,,,,,,,,,
6,3275178531032761205201,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"The marked crosswalk is not under a streetlight, but between two lights, which puts it in a ""blind spot"".",drives,WOOLPER AV & MCALPIN AV,McAlpin Av,Clifton,3275178531032761205201,"I agree, this is a really dangerous place to cross, and it is crossed by a lot of pedestrians all year long.",,,,,,,,,,,,,
6,3275178531032761205201,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"The marked crosswalk is not under a streetlight, but between two lights, which puts it in a ""blind spot"".",drives,WOOLPER AV & MCALPIN AV,McAlpin Av,Clifton,3275178531032761205201,People going north and south on Clifton regularly run the light making it a very dangerous intersection for both pedestrians as well as vehicles turning ontoClifton from Middleton. Add the school traffic and a second school to be added to the mix....,,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,"Agreed. Speeding here, so close to the intersection is just stupid. Sidewalk is so close to road with drivers barreling along. Police enforcement or at least a tall curb would help a lot.",,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,Agree!!,,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,"Agreed, this is still a dangerous cross-walk.  Sometimes even if a car stops others will try to go around!  Other cities use pedestrian-activated RED LIGHTS or flashing lights.  Police enforcement.  Anything.  Cars are not stopping",,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,"Yes, this is the worst stretch of Observatory. It's full-tilt by drivers. Very small physical distance between street and sidewalk. It's hellish for those on foot.",,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,I agree 100%. I work in Hyde Park and find myself crossing at this spot several times a week and it's terrifying. I have had drivers blow their horns at me. I've seen other cars nearly smash into the backs of cars that are lawfully stopped.,,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,Which street??,,,,,,,,,,,,,
7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,4077751020640781120167,Please do not add speed bumps on a major city street. I believe the current crosswalk setup is more than fine and I have never felt unsafe during the many times crossing this street here.,,,,,,,,,,,,,
