index,REQUESTID,STRSEGID,REQUESTTYP,Request_type,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,0
0,1,2516573751825174787628,Parking on the sidewalk,Parking on the sidewalk,2/7/2018,Wed,,walks,RIDGETOP WY & OAKTREE PL,Oaktree Pl,Westwood,
1,2,3315247840033153148042,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Cars will NOT stop at this crosswalk and it is clearly marked.  I have even seen CPD cars stroll right through instead of yielding to pedestrians.  Please put a traffic light there or have a police officer sit there and hand out tickets.,walks,CENTRAL AV & W 8TH ST,Central Av,West End,"I agree. This occurs every day. Sometimes when you are in the crosswalk cars won't even slow down, let alone stop. The new parking spaces make it dangerous to cross at this intersection. Please place a stop sign there to make it possible for pedestrians to cross the street. Place a ""stop for pedestrian sign"" in the middle of the road, then post an officer to give tickets when vehicles do not stop. The parking spots make the cars park at an angle so that pedestrians have to walk out into the street to see if it's clear to cross. Especially if trucks are parked near the crosswalk. Not uncommon for cars to stop or even park in front of crosswalk, next to the curb on the Centennial side of the street. i echo the previous comment.
I routinely experience people not paying attention or not caring and rolling on through the crosswalk.
I have actually seen someone go though and accelerate making intentional extra noise.
make it a stop sign or ticket"
7,3,3315192865633153438678,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Cars constantly rush through here on red lights.  I'm am so tired of this.  I am so afraid to walk downtown.,walks,CENTRAL AV & W 9TH ST,W 9th St,West End,"I agree this is a very dangerous area.  A lot of people hanging in this area.  Cars will just pull up in non-parking area.  People selling drugs on the street corner. This intersection has heavy traffic 4-6pm entering N and S I75. People should stop using this intersection as a pedestrian pickup point - cars are always parked along 9th St waiting to pickup people causing chaos. DESIGNATE NO PARKING ON 9TH HERE! Walk sign too short don't get time to cross over to other side of street before it starts blinking this happens on 7th and Central Ave as well. Needs to make light longer for people to walk across street I agree. There has been at least 3 pedestrians fatally killed on this intersection! City Engineers need to revisit this issue for the safety of the pedestrians who walk this route everyday. Once vehicles get the green light heading west on W9th, the speed through, hitting high speeds within a 100 yards. Very dangerous for people pulling out of Gateway parking lot. Pedestrians crossing north or south on Central at W 9th get the light at the same time the cars on Central turning onto W 9th get the green light. Vehicles are always cutting off pedestrians in the crosswalk or cars keep moving towards pedestrians."
13,4,3313997791233153148042,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,CENTRAL AV & W 7TH ST,W 7th St,West End,
14,5,3315247840033153148042,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,,walks,CENTRAL AV & W 7TH ST,Central Av,West End,
15,6,3275178531032761205201,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"The marked crosswalk is not under a streetlight, but between two lights, which puts it in a ""blind spot"".",drives,WOOLPER AV & MCALPIN AV,McAlpin Av,Clifton,"I agree I agree, this is a really dangerous place to cross, and it is crossed by a lot of pedestrians all year long. People going north and south on Clifton regularly run the light making it a very dangerous intersection for both pedestrians as well as vehicles turning ontoClifton from Middleton. Add the school traffic and a second school to be added to the mix...."
18,7,4077751020640781120167,Speeding,Speeding,2/7/2018,Wed,There is a crosswalk here and someone is destined to get killed. Cars do not slow down. Either remove the crosswalk or add speed bumps.,walks,MORTEN ST & OBSERVATORY AV,Observatory Av,Hyde Park,"Agreed. Speeding here, so close to the intersection is just stupid. Sidewalk is so close to road with drivers barreling along. Police enforcement or at least a tall curb would help a lot. Agree!! Agreed, this is still a dangerous cross-walk.  Sometimes even if a car stops others will try to go around!  Other cities use pedestrian-activated RED LIGHTS or flashing lights.  Police enforcement.  Anything.  Cars are not stopping Yes, this is the worst stretch of Observatory. It's full-tilt by drivers. Very small physical distance between street and sidewalk. It's hellish for those on foot. I agree 100%. I work in Hyde Park and find myself crossing at this spot several times a week and it's terrifying. I have had drivers blow their horns at me. I've seen other cars nearly smash into the backs of cars that are lawfully stopped. Which street?? Please do not add speed bumps on a major city street. I believe the current crosswalk setup is more than fine and I have never felt unsafe during the many times crossing this street here."
25,8,2988295271429883721689,Lack of Visibility,Lack of Visibility,2/7/2018,Wed,"Crossing on designated walk from West to East, the Northbound Vehicles on Kirby are only visible in the middle of the intersection. 
This needs a roundabout.",walks,KIRBY AV & BRUCE AV,Kirby Av,Northside,I mean at Bruce! Or a stop sign going north at Pullan.
27,9,3315247840033153148042,Other,Other,2/7/2018,Wed,"the parking spots for the permit center at 805 central centennial 2 are very dangerous.
You have to pull into the spots nose first at an angle, when backing out, you are totally blind if there is another car parked next to you.",drives,CENTRAL AV & W 8TH ST,Central Av,West End,"Continuation of previous comment....
people are backing out into an active lane of traffic totally blinded by the cars parked next to them. No large vehicles should be allowed to park in the first 2-3 spots near the crosswalk due to pedestrian safety concerns, causes blind spots. There have been accidents due to the backing out."
30,10,3388570073933886361744,Long wait for walk signal,Long wait for walk signal,2/7/2018,Wed,Must push button to cross Vine Street and cars turning on to Vine Street do not see pedestrians crossing. I have almost been hit by cars crossing as a pedestrian multiple times.,walks,VINE ST & NIXON ST,Vine St,Corryville,"I agree! This intersection isn't pedestrian-friendly at all. I have been using this intersection on a daily basis for 10+ years. I have had at least 7 close calls, including one white box van completely blowing through a red light and honking at me to get out of the cross walk. I have also kicked two cars."
32,11,3388597991833887619909,Speeding,Speeding,2/7/2018,Wed,The ramps onto Vine Street at this intersection and at Jefferson are terrible for pedestrians. Cars go too fast and have limited visibility.,walks,VINE ST & JEFFERSON AV,E Martin Luther King Jr Dr,CUF,Agree. People run this light and almost hit other cars and pedestrians almost once a week I agree I second this all the way!
35,12,3389718039633897861051,Long wait for walk signal,Long wait for walk signal,2/7/2018,Wed,It is very frustrating that there is only one east-west crosswalk (on the north side of intersection). Cars speed through here and have limited visibility when turning.,walks,EDEN AV & GOODMAN ST,Eden Av,Corryville,
36,13,3273599531032751785490,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,MIDDLETON AV & MCALPIN AV,McAlpin Av,Clifton,Agree. Daily as a nearby resident I watch multiple autos on a daily basis run this stop sign. Agreed Cars do not stop at  stop sign and do not yield to pedestrians I agree with this
