"requestid"|"requesttyp"|"requestdat"|"comments"|"usertype"|"near_inter"|"near_str"|"strsegid"|"additional_comments"|"sna_name"|"srvy_address"|"geo_address"|"lat"|"long"|"geo_address_type"|"geo_accuracy"
1430|"Walk signal is too short"|"09/02/2018"|"Walk signal for shorter distance is longer, but walk signal for longer distance is too short."|"walks"|"HIGHLAND AV & E MARTIN LUTHER KING JR DR"|"E Martin Luther King Jr Dr"|"3389900983133805379770"|""|"Corryville"|"HIGHLAND AV & E MARTIN LUTHER KING JR DR, Cincinnati, OH, USA"|"HIGHLAND AV & E MARTIN LUTHER KING JR DR, Cincinnati, OH, USA"|39.166412|-84.444898|"locality,political"|"locality"
1878|"Walk signal is too short"|"12/02/2018"|"Walk signal near Starbucks turns before you can walk half-way across street. This is bad especially now that more businesses have opened on the block."|"walks"|"BODMAN AL & E 6TH ST"|"E 6th St"|"3357792799733579958031"|""|"Downtown"|"BODMAN AL & E 6TH ST, Cincinnati, OH, USA"|"BODMAN AL & E 6TH ST, Cincinnati, OH, USA"|39.103526|-84.506135|"locality,political"|"locality"
5927|"Walk signal is too short"|"08/03/2018"|"This is the shortest walk signal in the city and is especially dangerous because of all the cars turning east on 5th from southbound Sycamore. I have been nearly hit and honked at constantly. Extremely vigilance is necessary at this light."|"walks"|"SYCAMORE ST & E 5TH ST"|"E 5th St"|"3358668765933591467746"|"I agree. I have been almost hit 4 times in the past 30 days."|"Downtown"|"SYCAMORE ST & E 5TH ST, Cincinnati, OH, USA"|"SYCAMORE ST & E 5TH ST, Cincinnati, OH, USA"|39.102361|-84.505034|"locality,political"|"locality"
9265|"Walk signal is too short"|"28/03/2018"|"Walk signal doesn't let you even cross three-quarters of the street before blinking. Cars are impatient to turn and meet people in the crosswalk."|"walks"|"LOCKWOOD HILL RD & THOMPSON RD"|"HARVEY AV"|"3381724112333817451335"|""|"Corryville"|"LOCKWOOD HILL RD & THOMPSON RD, Cincinnati, OH, USA"|"LOCKWOOD HILL RD & THOMPSON RD, Cincinnati, OH, USA"|39.238942|-84.669091|"locality,political"|"locality"
7905|"Long wait for walk signal"|"19/03/2018"|"The walk signal only appears to cross Burnet if someone pushes the button for the signal. This area has a lot of pedestrian traffic, and when the walk signal does not appear, people just jaywalk rather than wait through another round of lights."|"walks"|"FOXVIEW DR & FOXVALLEY CT"|"W FORRER AV"|"3995606277139960003771"|""|"Corryville"|"FOXVIEW DR & FOXVALLEY CT, Cincinnati, OH, USA"|"FOXVIEW DR & FOXVALLEY CT, Cincinnati, OH, USA"|39.063106|-84.359673|"locality,political"|"locality"
1076|"Jaywalking"|"08/02/2018"|"The number of pedestrians walking/running on Columbia Parkway has dramatically been increasing.  This is EXTREMELY dangerous.  Pedestrians are prohibited here."|"drives"|"ASPASIA ST & ASPASIA ST TERM SW OF GOLDEN AV"|"Columbia Pkwy"|"4084562509340983242810"|"I agree. I was shocked to see two women jogging here recently."|"East End"|"ASPASIA ST & ASPASIA ST TERM SW OF GOLDEN AV, Cincinnati, OH, USA"|"ASPASIA ST & ASPASIA ST TERM SW OF GOLDEN AV, Cincinnati, OH, USA"|39.287656|-84.515808|"locality,political"|"locality"
1076|"Jaywalking"|"08/02/2018"|"The number of pedestrians walking/running on Columbia Parkway has dramatically been increasing.  This is EXTREMELY dangerous.  Pedestrians are prohibited here."|"drives"|"ASPASIA ST & ASPASIA ST TERM SW OF GOLDEN AV"|"Columbia Pkwy"|"4084562509340983242810"|"There have been a tremendous number of runners, on the parkway, especially on the weekends.  They have to run right past the PEDESTRIANS PROHIBITED signs..."|"East End"|"ASPASIA ST & ASPASIA ST TERM SW OF GOLDEN AV, Cincinnati, OH, USA"|"ASPASIA ST & ASPASIA ST TERM SW OF GOLDEN AV, Cincinnati, OH, USA"|39.287656|-84.515808|"locality,political"|"locality"
1076|"Jaywalking"|"08/02/2018"|"The number of pedestrians walking/running on Columbia Parkway has dramatically been increasing.  This is EXTREMELY dangerous.  Pedestrians are prohibited here."|"drives"|"ASPASIA ST & ASPASIA ST TERM SW OF GOLDEN AV"|"Columbia Pkwy"|"4084562509340983242810"|"Lack of clear signage?"|"East End"|"ASPASIA ST & ASPASIA ST TERM SW OF GOLDEN AV, Cincinnati, OH, USA"|"ASPASIA ST & ASPASIA ST TERM SW OF GOLDEN AV, Cincinnati, OH, USA"|39.287656|-84.515808|"locality,political"|"locality"
1106|"Jaywalking"|"08/02/2018"|"This is an issue all along Liberty, even when there are crosswalks. Often drivers cannot go at a green light because there are pedestrians walking in-between the cars stopped at the light. Pedestrians also sometimes walk in front of moving cars."|"drives"|"PLEASANT ST & W LIBERTY ST"|"W Liberty St"|"3305585181833058261792"|""|"Over-the-Rhine"|"PLEASANT ST & W LIBERTY ST, Cincinnati, OH, USA"|"PLEASANT ST & W LIBERTY ST, Cincinnati, OH, USA"|39.073744|-84.29496|"locality,political"|"locality"
12369|"Jaywalking"|"18/04/2018"|"There is a lot of suspicious activity going on around here"|"drives"|"SHERMAN AV & BROOKE AV"|"BEEKMAN ST"|"2957852952229481768967"|""|"Walnut Hills"|"SHERMAN AV & BROOKE AV, Cincinnati, OH, USA"|"SHERMAN AV & BROOKE AV, Cincinnati, OH, USA"|39.070223|-84.37974|"locality,political"|"locality"
168|"Jaywalking"|"07/02/2018"|""|"bikes"|"WHETSEL AV & DESMOND ST"|"Whetsel Av"|"4761798868547618389013"|""|"Madisonville"|"WHETSEL AV & DESMOND ST, Cincinnati, OH, USA"|"WHETSEL AV & DESMOND ST, Cincinnati, OH, USA"|39.153507|-84.393925|"locality,political"|"locality"
178|"Jaywalking"|"07/02/2018"|""|"drives"|"RAVENNA ST & MADISON RD"|"Madison Rd"|"4761414837547617578336"|""|"Madisonville"|"RAVENNA ST & MADISON RD, Cincinnati, OH, USA"|"RAVENNA ST & MADISON RD, Cincinnati, OH, USA"|39.166675|-84.39365|"locality,political"|"locality"
253|"Jaywalking"|"07/02/2018"|"People jaywalk in the street, even though there is a stoplight to allow them to cross."|"drives"|"THORP AL & VINE ST"|"Vine St"|"3317232777633172887442"|""|"Downtown"|"THORP AL & VINE ST, Cincinnati, OH, USA"|"THORP AL & VINE ST, Cincinnati, OH, USA"|39.191702|-84.482892|"locality,political"|"locality"
350|"Jaywalking"|"07/02/2018"|""|"drives"|"E 8TH ST & GARFIELD PL"|"E 8th St"|"3317083863733575438702"|""|"Downtown"|"E 8TH ST & GARFIELD PL, Cincinnati, OH, USA"|"E 8TH ST & GARFIELD PL, Cincinnati, OH, USA"|39.104469|-84.513802|"locality,political"|"locality"
3526|"Jaywalking"|"19/02/2018"|""|"drives"|"EDEN AV & ALBERT SABIN WY"|"Albert Sabin Wy"|"3389827141433805671343"|""|"Corryville"|"EDEN AV & ALBERT SABIN WY, Cincinnati, OH, USA"|"EDEN AV & ALBERT SABIN WY, Cincinnati, OH, USA"|39.139709|-84.505136|"locality,political"|"locality"
3527|"Jaywalking"|"19/02/2018"|""|"drives"|"BURNET AV & KASOTA ST"|"Burnet Av"|"3381090099733811351395"|""|"Avondale"|"BURNET AV & KASOTA ST, Cincinnati, OH, USA"|"BURNET AV & KASOTA ST, Cincinnati, OH, USA"|39.133086|-84.501258|"locality,political"|"locality"
