street,city,,state,zipCode,lat,long,WalkScore,WalkScoreDesc,BikeScore,BikeScoreDesc,TransitScore,TransitScoreDesc,
Main St, Addyston,Main St Addyston,OH,45001,39.1389949,-84.7147265,5,Car-Dependent,,,,,
Church St, Addyston,Church St Addyston,OH,45001,39.140958,-84.711156,2,Car-Dependent,,,,,
Main St, Erlanger,Main St Erlanger,OH,41018,39.1368062,-84.7086321,6,Car-Dependent,,,,,
1st St, Addyston,1st St Addyston,OH,45001,39.1383508,-84.7096156,6,Car-Dependent,,,,,
Sekitan Ave, Addyston,Sekitan Ave Addyston,OH,45001,39.1390142,-84.7130096,3,Car-Dependent,,,,,
Main St, Cleves,Main St Cleves,OH,45002,39.139246,-84.714399,3,Car-Dependent,,,,,
Main St, Cincinnati,Main St Cincinnati,OH,45202,39.0988958,-84.5090446,82,Very Walkable,Bikeable,64,82,Excellent Transit,
Colerain Ave, Cincinnati,Colerain Ave Cincinnati,OH,45225,39.1405033,-84.5381297,6,Somewhat Walkable,Somewhat Bikeable,44,45,Some Transit,
Affirmed Dr, North Bend,Affirmed Dr North Bend,OH,45052,39.144362,-84.712432,,Car-Dependent,,,,,
Main St, Addyston,Main St Addyston,OH,45202,39.14165,-84.719603,5,Car-Dependent,,,,,
Three Rivers, North Bend,Three Rivers North Bend,OH,45052,39.135425,-84.7133035,,Car-Dependent,,,,,
River Rd, Bromley,River Rd Bromley,OH, KY 41017,39.0802921,-84.566651,1,Car-Dependent,,,,,
Section Rd, Cincinnati,Section Rd Cincinnati,OH,45237,39.196521,-84.449589,34,Car-Dependent,,,,,
Twigwood Ln, Cincinnati,Twigwood Ln Cincinnati,OH,45237,39.2061599,-84.443163,15,Car-Dependent,,,,,
E Galbraith, Cincinnati,E Galbraith Cincinnati,OH,45237,39.210578,-84.428033,5,Car-Dependent,,,,,
Burning Tree, Cincinnati,Burning Tree Cincinnati,OH,45237,39.204826,-84.4313729,2,Car-Dependent,,,,,
Glenfarm Ct, Cincinnati,Glenfarm Ct Cincinnati,OH,45236,39.207512,-84.412079,3,Car-Dependent,,,,,
E Galbraith, Cincinnati,E Galbraith Cincinnati,OH,45236,39.210656,-84.426622,5,Car-Dependent,,,,,
Dot Dr, Cincinnati,Dot Dr Cincinnati,OH,45213,39.1901656,-84.4287139,32,Car-Dependent,,,,,
S Whitetree, Cincinnati,S Whitetree Cincinnati,OH,45236,39.2120494,-84.4240367,5,Car-Dependent,,,,,
N Farmcrest, Cincinnati,N Farmcrest Cincinnati,OH,45213,39.193008,-84.424686,23,Car-Dependent,Somewhat Bikeable,15,,,
Southwoods Ln, Cincinnati,Southwoods Ln Cincinnati,OH,45213,39.1880816,-84.4270662,6,Somewhat Walkable,Somewhat Bikeable,37,39,Some Transit,
Fairhaven Ln, Cincinnati,Fairhaven Ln Cincinnati,OH,45237,39.206972,-84.42048,4,Car-Dependent,,,,,
Lamarque Dr, Cincinnati,Lamarque Dr Cincinnati,OH,45236,39.215652,-84.4193798,2,Car-Dependent,,,,,
Davis Ln, Cincinnati,Davis Ln Cincinnati,OH,45237,39.199311,-84.416813,5,Car-Dependent,,,,,
Matson Ave, Cincinnati,Matson Ave Cincinnati,OH,45236,39.2058476,-84.4090798,37,Car-Dependent,,,,,
Rollman Estates, Cincinnati,Rollman Estates Cincinnati,OH,45236,39.2084494,-84.4164869,1,Car-Dependent,,,,,
Glen Acre, Amberley,Glen Acre Amberley,OH,45237,39.192995,-84.443136,3,Car-Dependent,,,,,
E Farm, Cincinnati,E Farm Cincinnati,OH,45237,39.193302,-84.445262,19,Car-Dependent,,,,,
Beechlands Dr, Amberley,Beechlands Dr Amberley,OH,45237,39.1957393,-84.4351511,7,Car-Dependent,,,,,
Meadow Ridge, Cincinnati,Meadow Ridge Cincinnati,OH,45237,39.1948643,-84.4474186,14,Car-Dependent,,,,,
Farm Acres, Amberley,Farm Acres Amberley,OH,45237,39.1953729,-84.445765,17,Car-Dependent,,,,,
Elbrook Ave, Cincinnati,Elbrook Ave Cincinnati,OH,45237,39.19764,-84.447735,22,Car-Dependent,,,,,
W Aracoma, Cincinnati,W Aracoma Cincinnati,OH,45237,39.1973,-84.437107,3,Car-Dependent,,,,,
Willowbrook Ln, Cincinnati,Willowbrook Ln Cincinnati,OH,45237,39.198763,-84.4380599,2,Car-Dependent,,,,,
Winding Way, Cincinnati,Winding Way Cincinnati,OH,45236,39.1988092,-84.4124627,18,Car-Dependent,,,,,
E Aracoma, Cincinnati,E Aracoma Cincinnati,OH,45237,39.20183,-84.433111,3,Car-Dependent,,,,,
Fernwood Dr, Cincinnati,Fernwood Dr Cincinnati,OH,45237,39.204326,-84.435492,1,Car-Dependent,,,,,
Sagamore Dr, Cincinnati,Sagamore Dr Cincinnati,OH,45236,39.201644,-84.410009,32,Car-Dependent,,,,,
Gwenwyn Dr, Cincinnati,Gwenwyn Dr Cincinnati,OH,45236,39.203471,-84.4091679,32,Car-Dependent,,,,,
Creekwood Ln, Cincinnati,Creekwood Ln Cincinnati,OH,45237,39.203895,-84.429944,3,Car-Dependent,,,,,
Springvalley Dr, Cincinnati,Springvalley Dr Cincinnati,OH,45236,39.2068748,-84.4191131,4,Car-Dependent,,,,,
Ridge Rd, Cincinnati,Ridge Rd Cincinnati,OH,45236,39.211711,-84.426272,9,Car-Dependent,,,,,
Lynnehaven Dr, Cincinnati,Lynnehaven Dr Cincinnati,OH,45236,39.2152264,-84.4105458,11,Car-Dependent,,,,,
Ambercreek Dr, Cincinnati,Ambercreek Dr Cincinnati,OH,45237,39.203802,-84.418537,4,Car-Dependent,,,,,
Oaks Dr, Anderson Township,Oaks Dr Anderson Township,OH,45255,39.077903,-84.3433416,51,Somewhat Walkable,,,,,
Farm Ln, Anderson Township,Farm Ln Anderson Township,OH,45230,39.0799821,-84.4084599,5,Car-Dependent,,,,,
Hill Rd, Ohio 45230,Hill Rd Ohio 45230,OH, USA,39.0763319,-84.4107311,11,Car-Dependent,Somewhat Bikeable,1,,,
Trails Dr, Ohio 45244,Trails Dr Ohio 45244,OH, USA,39.1048363,-84.3103762,17,Car-Dependent,,,,,
Carmel Rd, Ohio 45244,Carmel Rd Ohio 45244,OH, USA,39.1313465,-84.3096275,6,Car-Dependent,,,,,
Bottom Rd, Cincinnati,Bottom Rd Cincinnati,OH,45244,39.1512082,-84.3045451,6,Car-Dependent,,,,,
