ID,street,city,state,zipCode,lat,long,WalkScore,WalkScoreDesc,BikeScore,BikeScoreDesc,TransitScore,TransitScoreDesc
1,MAIN ST, ADDYSTON,OH,45001,39.1389949,-84.7147265,5,Car-Dependent,,,,
2,CHURCH ST, ADDYSTON,OH,45001,39.140958,-84.711156,2,Car-Dependent,,,,
3,MAIN ST, ERLANGER,OH,41018,39.1368062,-84.7086321,6,Car-Dependent,,,,
4,1ST ST, ADDYSTON,OH,45001,39.1383508,-84.7096156,6,Car-Dependent,,,,
5,SEKITAN AVE, ADDYSTON,OH,45001,39.1390142,-84.7130096,3,Car-Dependent,,,,
6,MAIN ST, CLEVES,OH,45002,39.139246,-84.714399,3,Car-Dependent,,,,
7,MAIN ST, CINCINNATI,OH,45202,39.0988958,-84.5090446,51,Somewhat Walkable,,,,
8,COLERAIN AVE, CINCINNATI,OH,45225,39.1405033,-84.5381297,52,Somewhat Walkable,41,Somewhat Bikeable,,
9,AFFIRMED DR, NORTH BEND,OH,45052,39.144362,-84.712432,0,Car-Dependent,,,,
11,THREE RIVERS, NORTH BEND,OH,45052,39.135425,-84.7133035,0,Car-Dependent,,,,
12,RIVER RD, BROMLEY,OH,41017,39.0802921,-84.566651,1,Car-Dependent,,,,
13,SECTION RD, CINCINNATI,OH,45237,39.196521,-84.449589,53,Somewhat Walkable,48,Somewhat Bikeable,,
14,TWIGWOOD LN, CINCINNATI,OH,45237,39.2061599,-84.443163,14,Car-Dependent,,,,
15,E GALBRAITH, CINCINNATI,OH,45237,39.210578,-84.428033,5,Car-Dependent,,,,
16,BURNING TREE, CINCINNATI,OH,45237,39.204826,-84.4313729,2,Car-Dependent,,,,
17,GLENFARM CT, CINCINNATI,OH,45236,39.207512,-84.412079,3,Car-Dependent,,,,
19,DOT DR, CINCINNATI,OH,45213,39.1901656,-84.4287139,32,Car-Dependent,,,,
20,S WHITETREE, CINCINNATI,OH,45236,39.2120494,-84.4240367,5,Car-Dependent,,,,
21,N FARMCREST, CINCINNATI,OH,45213,39.193008,-84.424686,23,Car-Dependent,15,Somewhat Bikeable,,
22,SOUTHWOODS LN, CINCINNATI,OH,45213,39.1880816,-84.4270662,56,Somewhat Walkable,31,Somewhat Bikeable,,
23,FAIRHAVEN LN, CINCINNATI,OH,45237,39.206972,-84.42048,5,Car-Dependent,,,,
24,LAMARQUE DR, CINCINNATI,OH,45236,39.215652,-84.4193798,5,Car-Dependent,,,,
25,DAVIS LN, CINCINNATI,OH,45237,39.199311,-84.416813,7,Car-Dependent,,,,
26,MATSON AVE, CINCINNATI,OH,45236,39.2058476,-84.4090798,37,Car-Dependent,,,,
27,ROLLMAN ESTATES, CINCINNATI,OH,45236,39.2084494,-84.4164869,1,Car-Dependent,,,,
28,GLEN ACRE, AMBERLEY,OH,45237,39.192995,-84.443136,3,Car-Dependent,,,,
29,E FARM, CINCINNATI,OH,45237,39.193302,-84.445262,19,Car-Dependent,,,,
30,BEECHLANDS DR, AMBERLEY,OH,45237,39.1957393,-84.4351511,7,Car-Dependent,,,,
31,MEADOW RIDGE, CINCINNATI,OH,45237,39.1948643,-84.4474186,14,Car-Dependent,,,,
32,FARM ACRES, AMBERLEY,OH,45237,39.1953729,-84.445765,17,Car-Dependent,,,,
33,ELBROOK AVE, CINCINNATI,OH,45237,39.19764,-84.447735,41,Car-Dependent,,,,
34,W ARACOMA, CINCINNATI,OH,45237,39.1973,-84.437107,3,Car-Dependent,,,,
35,WILLOWBROOK LN, CINCINNATI,OH,45237,39.198763,-84.4380599,2,Car-Dependent,,,,
36,WINDING WAY, CINCINNATI,OH,45236,39.1988092,-84.4124627,18,Car-Dependent,,,,
37,E ARACOMA, CINCINNATI,OH,45237,39.20183,-84.433111,3,Car-Dependent,,,,
38,FERNWOOD DR, CINCINNATI,OH,45237,39.204326,-84.435492,1,Car-Dependent,,,,
39,SAGAMORE DR, CINCINNATI,OH,45236,39.201644,-84.410009,30,Car-Dependent,,,,
40,GWENWYN DR, CINCINNATI,OH,45236,39.203471,-84.4091679,32,Car-Dependent,,,,
41,CREEKWOOD LN, CINCINNATI,OH,45237,39.203895,-84.429944,3,Car-Dependent,,,,
42,SPRINGVALLEY DR, CINCINNATI,OH,45236,39.2068748,-84.4191131,2,Car-Dependent,,,,
43,RIDGE RD, CINCINNATI,OH,45236,39.211711,-84.426272,34,Car-Dependent,,,,
44,LYNNEHAVEN DR, CINCINNATI,OH,45236,39.2152264,-84.4105458,6,Car-Dependent,,,,
45,AMBERCREEK DR, CINCINNATI,OH,45237,39.203802,-84.418537,72,Very Walkable,50,Bikeable,,
46,OAKS DR, ANDERSON TOWNSHIP,OH,45255,39.077903,-84.3433416,51,Somewhat Walkable,,,,
47,FARM LN, ANDERSON TOWNSHIP,OH,45230,39.0799821,-84.4084599,5,Car-Dependent,,,,
48,HILL RD, OHIO 45230,OH, USA,39.0763319,-84.4107311,11,Car-Dependent,1,Somewhat Bikeable,,
49,TRAILS DR, OHIO 45244,OH, USA,39.1048363,-84.3103762,17,Car-Dependent,,,,
50,CARMEL RD, OHIO 45244,OH, USA,39.1313465,-84.3096275,6,Car-Dependent,,,,
51,BOTTOM RD, CINCINNATI,OH,45244,39.1512082,-84.3045451,6,Car-Dependent,,,,
52,HILL LN, ANDERSON TOWNSHIP,OH,45244,39.1109792,-84.3964715,2,Car-Dependent,,,,
53,CHESTNUT LN, CINCINNATI,OH,45230,39.0706824,-84.400584,2,Car-Dependent,,,,
54,ARTWOOD DR, CINCINNATI,OH,45230,39.0678418,-84.3626458,29,Car-Dependent,,,,
55,WITTSHIRE LN, CINCINNATI,OH,45255,39.068218,-84.3326859,52,Somewhat Walkable,,,,
56,NIMITZ LN, CINCINNATI,OH,45230,39.068869,-84.388492,19,Car-Dependent,,,,
57,EASTLAND TERRACE, CINCINNATI,OH,45230,39.0687192,-84.3598118,26,Car-Dependent,,,,
58,EVERSOLE RD, CINCINNATI,OH,45230,39.0715549,-84.3997425,6,Car-Dependent,,,,
59,ALNETTA DR, CINCINNATI,OH,45230,39.0684755,-84.365685,36,Car-Dependent,,,,
60,WITTSHIRE CIR, CINCINNATI,OH,45255,39.069123,-84.3309973,4,Car-Dependent,,,,
61,SUTTON RD, CINCINNATI,OH,45230,39.0709252,-84.3947766,18,Car-Dependent,27,Somewhat Bikeable,,
62,MAYCLIFFE PL, CINCINNATI,OH,45230,39.0720722,-84.3804911,17,Car-Dependent,,,,
63,LANETTE DR, CINCINNATI,OH,45230,39.0700115,-84.3790312,38,Car-Dependent,,,,
64,BIRNEY LN, CINCINNATI,OH,45230,39.069915,-84.376783,36,Car-Dependent,,,,
65,BEACON ST, CINCINNATI,OH,45230,39.0708544,-84.383055,34,Car-Dependent,,,,
66,BURNS AVE, CINCINNATI,OH,45230,39.06993,-84.375609,41,Car-Dependent,,,,
67,STORMY WAY, CINCINNATI,OH,45230,39.069879,-84.377501,37,Car-Dependent,,,,
68,OYSTERBAY DR, CINCINNATI,OH,45255,39.0682556,-84.3241618,50,Somewhat Walkable,,,,
69,4 MILE, CINCINNATI,OH,45230,39.0715121,-84.3933595,2,Car-Dependent,,,,
