AddressID,Address,City,State,ZipCode,WalkScore,WalkScoreDesc,BikeScore,BikeScoreDesc,TransitScore,TransitScoreDesc
3,1 Church St, Addyston,OH,  45001,2,Car-Dependent,,,,
4,101 Main St, Erlanger,OH,  41018,6,Car-Dependent,,,,
6,125 1st St, Addyston,OH,  45001,6,Car-Dependent,,,,
7,130 1st St, Addyston,OH,  45001,6,Car-Dependent,,,,
8,143 1st St, Addyston,OH,  45001,4,Car-Dependent,,,,
9,165 1st St, Addyston,OH,  45001,4,Car-Dependent,,,,
10,170 1st St, Addyston,OH,  45001,3,Car-Dependent,,,,
11,177 1st St, Addyston,OH,  45001,3,Car-Dependent,,,,
12,18 Main St, Erlanger,OH,  41018,2,Car-Dependent,,,,
13,209 Sekitan Ave, Addyston,OH,  45001,3,Car-Dependent,,,,
15,230 Main St, Cleves,OH,  45002,3,Car-Dependent,,,,
16,231 Sekitan Ave, Addyston,OH,  45001,3,Car-Dependent,,,,
17,237 Sekitan Ave, Addyston,OH,  45001,3,Car-Dependent,,,,
18,24 Main St, Erlanger,OH,  41018,2,Car-Dependent,,,,
19,259 Main St, Addyston,OH,  45001,3,Car-Dependent,,,,
20,26 Main St, Erlanger,OH,  41018,2,Car-Dependent,,,,
21,266 Main St, Cincinnati,OH,  45202,82,Very Walkable,Bikeable,64,,
22,28 Main St, Erlanger,OH,  41018,2,Car-Dependent,,,,
23,3118 Colerain Ave, Cincinnati,OH,  45225,60,Somewhat Walkable,Somewhat Bikeable,44,,
24,29 Main St, Erlanger,OH,  41018,2,Car-Dependent,,,,
25,2968 Affirmed Dr, North Bend,OH,  45052,0,Car-Dependent,,,,
26,298 Main St, Cleves,OH,  45002,3,Car-Dependent,,,,
27,300 Sekitan Ave, Addyston,OH,  45001,3,Car-Dependent,,,,
28,302 Sekitan Ave, Addyston,OH,  45001,3,Car-Dependent,,,,
29,305 Main St, Cincinnati,OH,  45202,82,Very Walkable,Bikeable,64,,
30,307 Main St, Cincinnati,OH,  45202,82,Very Walkable,Bikeable,64,,
31,311 Sekitan Ave, Addyston,OH,  45001,3,Car-Dependent,,,,
32,326 Main St, Addyston,OH,  45202,5,Car-Dependent,,,,
34,356 Three Rivers Pkwy, North Bend,OH,  45052,1,Car-Dependent,,,,
35,400 Sekitan Ave, Addyston,OH,  45001,4,Car-Dependent,,,,
36,Addyston, OH 45001,OH, USA,3,Car-Dependent,,,,
