ID,street,city,state,zipCode,lat,long,WalkScore,WalkScoreDesc,BikeScore,BikeScoreDesc,TransitScore,TransitScoreDesc
0,MAIN ST, ADDYSTON,OH,45001,39.1389949,-84.7147265,5,Car-Dependent,0,0,0,0
1,CHURCH ST, ADDYSTON,OH,45001,39.140958,-84.711156,2,Car-Dependent,0,0,0,0
2,MAIN ST, ERLANGER,OH,41018,39.1368062,-84.7086321,6,Car-Dependent,0,0,0,0
3,1ST ST, ADDYSTON,OH,45001,39.1383508,-84.7096156,6,Car-Dependent,0,0,0,0
4,SEKITAN AVE, ADDYSTON,OH,45001,39.1390142,-84.7130096,3,Car-Dependent,0,0,0,0
5,MAIN ST, CLEVES,OH,45002,39.139246,-84.714399,3,Car-Dependent,0,0,0,0
6,MAIN ST, CINCINNATI,OH,45202,39.0988958,-84.5090446,51,Somewhat Walkable,0,0,0,0
7,COLERAIN AVE, CINCINNATI,OH,45225,39.1405033,-84.5381297,52,Somewhat Walkable,41,Somewhat Bikeable,0,0
8,AFFIRMED DR, NORTH BEND,OH,45052,39.144362,-84.712432,0,Car-Dependent,0,0,0,0
10,THREE RIVERS, NORTH BEND,OH,45052,39.135425,-84.7133035,0,Car-Dependent,0,0,0,0
11,RIVER RD, BROMLEY,OH,41017,39.0802921,-84.566651,1,Car-Dependent,0,0,0,0
12,SECTION RD, CINCINNATI,OH,45237,39.196521,-84.449589,53,Somewhat Walkable,48,Somewhat Bikeable,0,0
13,TWIGWOOD LN, CINCINNATI,OH,45237,39.2061599,-84.443163,14,Car-Dependent,0,0,0,0
14,E GALBRAITH, CINCINNATI,OH,45237,39.210578,-84.428033,5,Car-Dependent,0,0,0,0
15,BURNING TREE, CINCINNATI,OH,45237,39.204826,-84.4313729,2,Car-Dependent,0,0,0,0
16,GLENFARM CT, CINCINNATI,OH,45236,39.207512,-84.412079,3,Car-Dependent,0,0,0,0
18,DOT DR, CINCINNATI,OH,45213,39.1901656,-84.4287139,32,Car-Dependent,0,0,0,0
19,S WHITETREE, CINCINNATI,OH,45236,39.2120494,-84.4240367,5,Car-Dependent,0,0,0,0
20,N FARMCREST, CINCINNATI,OH,45213,39.193008,-84.424686,23,Car-Dependent,15,Somewhat Bikeable,0,0
21,SOUTHWOODS LN, CINCINNATI,OH,45213,39.1880816,-84.4270662,56,Somewhat Walkable,31,Somewhat Bikeable,0,0
22,FAIRHAVEN LN, CINCINNATI,OH,45237,39.206972,-84.42048,5,Car-Dependent,0,0,0,0
23,LAMARQUE DR, CINCINNATI,OH,45236,39.215652,-84.4193798,5,Car-Dependent,0,0,0,0
24,DAVIS LN, CINCINNATI,OH,45237,39.199311,-84.416813,7,Car-Dependent,0,0,0,0
25,MATSON AVE, CINCINNATI,OH,45236,39.2058476,-84.4090798,37,Car-Dependent,0,0,0,0
26,ROLLMAN ESTATES, CINCINNATI,OH,45236,39.2084494,-84.4164869,1,Car-Dependent,0,0,0,0
