OBJECTID,TOWNSHIP,DISTZONE,ZONING,ZONE
1,CINCINNATI,CINCINNATI,PD,
2,CINCINNATI,CINCINNATI,PD,
3,CINCINNATI,CINCINNATI,PD,
4,CINCINNATI,CINCINNATI,PD,
5,CINCINNATI,CINCINNATI,PD,
6,CINCINNATI,CINCINNATI,PD,
7,CINCINNATI,CINCINNATI,PD,
8,CINCINNATI,CINCINNATI,PD,
9,CINCINNATI,CINCINNATI,PD,
10,CINCINNATI,CINCINNATI,PD,
11,CINCINNATI,CINCINNATI,PD,
12,CINCINNATI,CINCINNATI,PD,
13,CINCINNATI,CINCINNATI,PD,
34,CINCINNATI,CINCINNATI,PD,
35,CINCINNATI,CINCINNATI,PD,
36,CINCINNATI,CINCINNATI,PD,
37,CINCINNATI,CINCINNATI,PD,
38,CINCINNATI,CINCINNATI,PD,
39,CINCINNATI,CINCINNATI,PD,
40,CINCINNATI,CINCINNATI,PD,
41,CINCINNATI,CINCINNATI,PD,
42,CINCINNATI,CINCINNATI,PD,
43,CINCINNATI,CINCINNATI,PD,
44,CINCINNATI,CINCINNATI,PD,
45,CINCINNATI,CINCINNATI,PD,
46,CINCINNATI,CINCINNATI,PD,
47,CINCINNATI,CINCINNATI,PD,
48,CINCINNATI,CINCINNATI,PD,
49,CINCINNATI,CINCINNATI,PD,
50,CINCINNATI,CINCINNATI,PD,
51,CINCINNATI,CINCINNATI,PD,
52,CINCINNATI,CINCINNATI,PD,
53,CINCINNATI,CINCINNATI,PD,
54,CINCINNATI,CINCINNATI,PD,
55,CINCINNATI,CINCINNATI,PD,
56,CINCINNATI,CINCINNATI,PD,
14,CINCINNATI,CINCINNATI,PD,
15,CINCINNATI,CINCINNATI,PD,
16,CINCINNATI,CINCINNATI,PD,
17,CINCINNATI,CINCINNATI,PD,
18,CINCINNATI,CINCINNATI,PD,
19,CINCINNATI,CINCINNATI,PD,
20,CINCINNATI,CINCINNATI,PD,
21,CINCINNATI,CINCINNATI,PD,
22,CINCINNATI,CINCINNATI,PD,
23,CINCINNATI,CINCINNATI,PD,
24,CINCINNATI,CINCINNATI,PD,
25,CINCINNATI,CINCINNATI,PD,
26,CINCINNATI,CINCINNATI,PD,
27,CINCINNATI,CINCINNATI,PD,
28,CINCINNATI,CINCINNATI,PD,
29,CINCINNATI,CINCINNATI,PD,
30,CINCINNATI,CINCINNATI,PD,
31,CINCINNATI,CINCINNATI,PD,
32,CINCINNATI,CINCINNATI,PD,
33,CINCINNATI,CINCINNATI,PD,
74,CINCINNATI,CINCINNATI,PD,
75,CINCINNATI,CINCINNATI,PD,
76,CINCINNATI,CINCINNATI,PD,
77,CINCINNATI,CINCINNATI,PD,
78,CINCINNATI,CINCINNATI,PD,
79,CINCINNATI,CINCINNATI,PD,
80,CINCINNATI,CINCINNATI,PD,
81,CINCINNATI,CINCINNATI,PD,
82,CINCINNATI,CINCINNATI,PD,
83,CINCINNATI,CINCINNATI,PD,
84,CINCINNATI,CINCINNATI,PD,
85,CINCINNATI,CINCINNATI,RM-1.2,
86,CINCINNATI,CINCINNATI,CN-P,
87,CINCINNATI,CINCINNATI,PR,
88,CINCINNATI,CINCINNATI,SF-4,
57,CINCINNATI,CINCINNATI,RMX,
58,CINCINNATI,CINCINNATI,CC-P,
59,CINCINNATI,CINCINNATI,SF-20,
60,CINCINNATI,CINCINNATI,SF-6,
61,CINCINNATI,CINCINNATI,PR,
62,CINCINNATI,CINCINNATI,CC-A,
63,CINCINNATI,CINCINNATI,CN-M,
64,CINCINNATI,CINCINNATI,CC-A,
65,CINCINNATI,CINCINNATI,SF-2,
66,CINCINNATI,CINCINNATI,PR,
67,CINCINNATI,CINCINNATI,ML,
68,CINCINNATI,CINCINNATI,RF-C,
69,CINCINNATI,CINCINNATI,RMX,
70,CINCINNATI,CINCINNATI,PR,
71,CINCINNATI,CINCINNATI,PD,
72,CINCINNATI,CINCINNATI,PD,
73,CINCINNATI,CINCINNATI,PD,
106,CINCINNATI,CINCINNATI,SF-6,
107,CINCINNATI,CINCINNATI,RM-1.2,
108,CINCINNATI,CINCINNATI,SF-4,
109,CINCINNATI,CINCINNATI,PR,
110,CINCINNATI,CINCINNATI,CN-M,
111,CINCINNATI,CINCINNATI,CC-A,
112,CINCINNATI,CINCINNATI,PR,
113,CINCINNATI,CINCINNATI,ML,
114,CINCINNATI,CINCINNATI,PR,
115,CINCINNATI,CINCINNATI,SF-4,
116,CINCINNATI,CINCINNATI,SF-4,
117,CINCINNATI,CINCINNATI,OL,
118,CINCINNATI,CINCINNATI,RM-2.0,
119,CINCINNATI,CINCINNATI,SF-6,
120,CINCINNATI,CINCINNATI,CG-A,
121,CINCINNATI,CINCINNATI,IR,
122,CINCINNATI,CINCINNATI,PR,
123,CINCINNATI,CINCINNATI,PR,
124,CINCINNATI,CINCINNATI,RMX,
89,CINCINNATI,CINCINNATI,SF-2,
90,CINCINNATI,CINCINNATI,SF-6,
91,CINCINNATI,CINCINNATI,SF-6,
92,CINCINNATI,CINCINNATI,CN-P,
93,CINCINNATI,CINCINNATI,CC-A,
94,CINCINNATI,CINCINNATI,RM-0.7,
95,CINCINNATI,CINCINNATI,RMX,
96,CINCINNATI,CINCINNATI,RM-2.0,
97,CINCINNATI,CINCINNATI,SF-6,
98,CINCINNATI,CINCINNATI,RM-1.2,
99,CINCINNATI,CINCINNATI,PR,
100,CINCINNATI,CINCINNATI,SF-4,
101,CINCINNATI,CINCINNATI,SF-4,
102,CINCINNATI,CINCINNATI,PR,
103,CINCINNATI,CINCINNATI,SF-4,
104,CINCINNATI,CINCINNATI,CC-A,
105,CINCINNATI,CINCINNATI,RF-C,
141,CINCINNATI,CINCINNATI,RM-1.2,
142,CINCINNATI,CINCINNATI,RM-0.7,
143,CINCINNATI,CINCINNATI,CG-A,
144,CINCINNATI,CINCINNATI,SF-10,
145,CINCINNATI,CINCINNATI,PR,
146,CINCINNATI,CINCINNATI,CC-M,
147,CINCINNATI,CINCINNATI,SF-4,
148,CINCINNATI,CINCINNATI,RM-0.7,
149,CINCINNATI,CINCINNATI,SF-2,
125,CINCINNATI,CINCINNATI,SF-4,
126,CINCINNATI,CINCINNATI,PR,
127,CINCINNATI,CINCINNATI,PR,
