"sum_cost","num_fire_incd","num_prop_sales","num_streets","num_walk_scores","num_reports","num_near_misses","median_sale_price.imputed","max_sale_price.imputed","mean_walk_score.imputed","min_walk_score.imputed","max_walk_score.imputed","sum_lane_cnt.imputed","sum_width.imputed","sum_area.imputed","categoryagricultural","categorycommercial","categoryindustrial","categorypublicly.owned","categorypublic.utilities","categoryresidential"
0,0,74,142,0,0,0,116700,188000,46,44,48,300,3508,2589954,0,0,0,0,0,1
0,0,5,92,0,0,0,125000,152800,46,44,48,184,2208,2382962,0,0,0,0,0,1
0.304,0,0,1,0,0,0,82700,323000,46,44,48,4,40,31112,NA,NA,NA,NA,NA,NA
0,0,3,35,0,0,0,417000,465000,46,44,48,70,712,197304,0,0,0,0,0,1
0,0,33,21,1,0,0,205000,397500,13,13,13,63,588,135269,0,0,0,0,0,1
0,0,6,24,0,1,0,140150,380000,46,44,48,93,843,634371,0,0,0,0,0,1
0,0,1,32,0,0,0,65600,65600,46,44,48,95,800,363718,0,0,0,0,0,1
0,0,0,3,0,0,0,82700,323000,46,44,48,8,76,37341,NA,NA,NA,NA,NA,NA
0.608,0,49,123,3,1,0,114200,207500,24.3333333333333,3,36,286,3204,954792,0,0,0,0,0,1
0,0,27,90,1,2,0,117000,184350,35,35,35,190,2228,582761,0,0,0,0,0,1
0,0,19,11,0,4,0,128000,2e+05,46,44,48,36,342,193639,0,0,0,0,0,1
0.304,0,10,31,0,0,0,115450,161500,46,44,48,124,1282,688511,0,0,0,0,0,1
0,0,1,58,1,0,0,360969,360969,41,41,41,138,1590,1188897,0,0,0,0,0,1
0,0,0,0,0,0,0,82700,323000,46,44,48,53,563,284640,NA,NA,NA,NA,NA,NA
0,0,26,124,2,0,0,195000,248000,18.5,17,20,372,3472,1290230,0,0,0,0,0,1
0,0,18,4,2,1,0,146700,188500,13.5,12,15,12,112,27212,0,0,0,0,0,1
0,0,48,67,4,0,0,143450,180000,24.5,19,29,156,1716,620195,0,0,0,0,0,1
0,0,25,87,0,0,0,83500,259125,46,44,48,281,2569,1443943,0,0,0,0,0,1
0,0,56,98,2,0,0,71250,144900,14.5,11,18,259,2489,1409541,0,0,0,0,0,1
2.206,0,56,31,2,0,0,94000,253000,57,57,57,89,789,333004,0,0,0,0,0,1
0,0,9,5,1,2,0,80620,125000,49,49,49,11,121,72911,0,0,0,0,0,1
0,0,12,7,1,0,0,120875,150000,42,42,42,14,149,84998,0,0,0,0,0,1
0,0,13,0,1,0,0,113000,150000,38,38,38,53,563,284640,0,0,0,0,0,1
