sum_cost_pedestrian_events,cell_id,num_near_misses,n_rqst,access,dblprk,dnotyld,jywalk,lvisib,lwfws,nobikef,noswlk,other,prkint,prkswlk,speed,vrrlss,wlksig,xwalk,assist,bikes,drives,other.1,walks,mean_walk_score,min_walk_score,max_walk_score,num_walk_scores,sum_lane_cnt,sum_width,sum_area,num_streets,num_fire_incd,med_sale_res_y,med_sale_res_n,med_sale_com_y,med_sale_com_n,med_sale_ind_y,med_sale_ind_n,med_sale_pbo_y,med_sale_pbo_n,sum_cost.y,num_events.y,dist,n_object,animals_insects,building.related,construction,food,others,police.property,service.complaint,street_sidewalk,traffic_sig0l,trash,trees_plants,water.leak,zoning_parking,n_request
0,20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,300,3508,2589954,142,0,143450.75,86666,0,0,0,0,0,0,112.005,12,0.007244525,12,4,7,0,0,76,7,1,39,1,283,5,0,5,428
0,20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,184,2208,2382962,92,0,141625,129108,0,0,0,0,0,0,10.082,1,0.005151289,12,0,0,0,0,0,0,1,3,0,24,1,0,0,29
0.304,20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,4,40,31112,1,0,161385,129108,0,0,0,0,0,0,40.328,4,0.002239658,12,0,0,0,0,2,0,0,0,1,0,0,0,0,3
0,20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,70,712,197304,35,0,498695,129108,0,0,0,0,0,0,0.304,1,0.002887937,12,0,2,0,0,0,0,0,1,0,0,0,0,0,3
0,20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,1,63,588,135269,21,0,244871,125631,0,0,0,0,0,0,0,0,0.007901662,12,0,0,0,0,0,0,4,1,0,41,1,0,0,47
0,20020,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,44,48,0,93,843,634371,24,0,165757.9,129108,0,0,0,0,0,0,0,0,0.009721724,12,0,1,0,0,11,0,0,5,0,45,0,0,1,63
0,20021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,95,800,363718,32,0,161385,129108,0,0,0,0,0,0,30.246,3,0.011664073,12,0,2,0,0,15,0,2,2,0,80,0,0,1,102
0,20022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,8,76,37341,3,0,161385,129108,0,0,0,0,0,0,0,0,0.013610281,12,0,2,0,0,4,2,1,3,0,74,5,0,0,91
0.608,30012,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,24.33333333,3,36,3,286,3204,954792,123,0,130865.5,99840,0,0,0,0,0,0,30.246,3,0.006887895,12,0,8,0,0,46,4,1,16,0,197,2,0,0,274
0,30013,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,35,35,35,1,190,2228,582761,90,0,152955,97364,0,0,0,0,0,0,20.164,2,0.004637916,12,0,2,0,0,21,0,2,2,0,90,3,0,0,120
0,30014,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,3,46,44,48,0,36,342,193639,11,0,147584,93402.96,206020,0,0,0,0,0,40.328,4,0.002387974,12,1,3,0,0,10,0,2,7,0,63,1,2,1,90
0.304,30015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,124,1282,688511,31,0,142100.7,67236,175013,0,0,0,0,0,345.298,37,0.000139926,12,0,4,0,3,25,0,2,25,0,71,3,1,0,134
0,30016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41,1,138,1590,1188897,58,0,408977.877,129108,0,0,0,0,0,0,110.902,11,0.001598369,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,53,563,284640,0,0,161385,129108,0,0,0,0,0,0,0,0,0.002972707,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,17,20,2,372,3472,1290230,124,0,244690.5,129108,0,0,0,0,0,0,20.164,2,0.004732579,12,0,0,0,0,3,0,1,3,0,61,0,0,0,68
0,30019,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13.5,12,15,2,12,112,27212,4,0,178059.75,96248,0,0,0,0,0,0,0,0,0.006660516,12,1,2,0,0,10,0,1,1,0,102,2,0,0,119
0,30020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,19,29,4,156,1716,620195,67,0,174991.85,116819.088,149807.25,0,0,0,0,0,0,0,0.008579044,12,1,1,0,0,12,3,4,6,0,62,1,0,0,90
0,30021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,44,48,0,281,2569,1443943,87,0,104231.75,63448,0,0,0,0,0,0,91.533,13,0.01061271,12,0,7,0,0,33,0,3,9,0,144,4,0,0,200
