"cell_id","lat","long","Name","sum_cost","num_fire_incd","num_prop_sales","num_streets","num_walk_scores","num_reports","num_near_misses","median_sale_price.imputed","max_sale_price.imputed","mean_walk_score.imputed","min_walk_score.imputed","max_walk_score.imputed","sum_lane_cnt.imputed","sum_width.imputed","sum_area.imputed","categoryagricultural","categorycommercial","categoryindustrial","categorypublicly.owned","categorypublic.utilities","categoryresidential"
20012,39.0758799204781,-84.3720887899555,"Mt. Washington",0,0,74,142,0,0,0,116700,188000,46,44,48,300,3508,2589954,0,0,0,0,0,1
20013,39.0781299205592,-84.3720887899533,"Mt. Washington",0,0,5,92,0,0,0,125000,152800,46,44,48,184,2208,2382962,0,0,0,0,0,1
20015,39.0826299207212,-84.3720887899489,"Mt. Washington",0.304,0,0,1,0,0,0,82700,323000,46,44,48,4,40,31112,NA,NA,NA,NA,NA,NA
20016,39.0848799208022,-84.3720887899467,"Mt. Washington",0,0,3,35,0,0,0,417000,465000,46,44,48,70,712,197304,0,0,0,0,0,1
20019,39.0916299210448,-84.3720887899401,"Mt. Washington",0,0,33,21,1,0,0,205000,397500,13,13,13,63,588,135269,0,0,0,0,0,1
20020,39.0938799211257,-84.3720887899379,"Mt. Washington",0,0,6,24,0,1,0,140150,380000,46,44,48,93,843,634371,0,0,0,0,0,1
20021,39.0961299212065,-84.3720887899357,"Mt. Washington",0,0,1,32,0,0,0,65600,65600,46,44,48,95,800,363718,0,0,0,0,0,1
20022,39.0983799212873,-84.3720887899335,"Mt. Washington",0,0,0,3,0,0,0,82700,323000,46,44,48,8,76,37341,NA,NA,NA,NA,NA,NA
30012,39.0758831462979,-84.3743479955261,"Mt. Washington",0.608,0,49,123,3,1,0,114200,207500,24.3333333333333,3,36,286,3204,954792,0,0,0,0,0,1
30013,39.0781331464321,-84.3743479955234,"Mt. Washington",0,0,27,90,1,2,0,117000,184350,35,35,35,190,2228,582761,0,0,0,0,0,1
30014,39.0803831465662,-84.3743479955207,"Mt. Washington",0,0,19,11,0,4,0,128000,2e+05,46,44,48,36,342,193639,0,0,0,0,0,1
30015,39.0826331467003,-84.3743479955181,"Mt. Washington",0.304,0,10,31,0,0,0,115450,161500,46,44,48,124,1282,688511,0,0,0,0,0,1
30016,39.0848831468343,-84.3743479955154,"Mt. Washington",0,0,1,58,1,0,0,360969,360969,41,41,41,138,1590,1188897,0,0,0,0,0,1
30017,39.0871331469683,-84.3743479955127,"Mt. Washington",0,0,0,0,0,0,0,82700,323000,46,44,48,53,563,284640,NA,NA,NA,NA,NA,NA
