CATEGORY,DESCRIPTION,DEPARTMENT OF TAX EQUALIZATION,HAMILTON COUNTY
AGRICULTURAL,VACANT LAND,100,100
AGRICULTURAL,CASH - GRAIN OR GENERAL FARM,101,101
AGRICULTURAL,LIVESTOCK FARM EXCEPT DAIRY & POULTRY,102,102
AGRICULTURAL,DAIRY FARMS,103,103
AGRICULTURAL,POULTRY FARMS,104,104
AGRICULTURAL,FRUIT & NUT FARMS,105,105
AGRICULTURAL,VEGETABLE FARMS,106,106
AGRICULTURAL,TOBACCO FARMS,107,107
AGRICULTURAL,NURSERIES,108,108
AGRICULTURAL,"GREENHOUSES, VEGETABLES & FLORACULTURE",109,109
AGRICULTURAL,VACANT LAND - CAUV,110,110
AGRICULTURAL,CASH - GRAIN OR GENERAL FARM-CAUV,111,111
AGRICULTURAL,LIVESTOCK FARM EXCEPT DAIRY & POULTRY - CAUV,112,112
AGRICULTURAL,DAIRY FARMS - CAUV,113,113
AGRICULTURAL,POULTRY FARMS - CAUV,114,114
AGRICULTURAL,FRUIT & NUT FARMS - CAUV,115,115
AGRICULTURAL,VEGETABLE FARMS - CAUV,116,116
AGRICULTURAL,TOBACCO FARMS - CAUV,117,117
AGRICULTURAL,TIMBER,120,120
AGRICULTURAL,TIMBER - CAUV,121,121
AGRICULTURAL,TIMBER - COMMERICAL,122,122
AGRICULTURAL,FORESTLAND (FLTP)- PRIOR to 1994,123,123
AGRICULTURAL,FORESTLAND (FLTP) 1994 or LATER,124,124
AGRICULTURAL,OTHER,190,190
AGRICULTURAL,OTHER - CAUV,199,199
EXTRACTION,"COAL LANDS, SURFACE RIGHTS",210,210
EXTRACTION,"COAL RIGHTS, WORKING INTEREST",220,220
EXTRACTION,"COAL RIGHTS, SEPARATE ROYALTY INTEREST",230,230
EXTRACTION,"OIL & GAS RIGHTS, WORKING INTEREST",240,240
EXTRACTION,"OIL & GAS RIGHTS, SEPARATE ROYALTY INTEREST",250,250
EXTRACTION,OTHER MINERALS,260,260
