"address_x","lat","long","age","community_council_neighborhood","cpd_neighborhood","crashdate","crashlocation","crashseverity","crashseverityid","datecrashreported","dayofweek","gender","injuries","instanceid","lightconditionsprimary","localreportno","mannerofcrash","roadconditionsprimary","roadcontour","roadsurface","sna_neighborhood","typeofperson","weather","zip","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"7XX E PETE ROSE WY",39.100026,-84.500418,"18-25","DOWNTOWN","C. B. D. / RIVERFRONT","05/30/2014 11:45:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"05/30/2014 11:46:00 AM +0000","FRI","M - MALE","5 - FATAL","FCF06B63-5135-4BC4-90EB-20F52E155B51","1 - DAYLIGHT","145004115","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","DOWNTOWN","O - OCCUPANT","1 - CLEAR","45202",0.0962072758128066,590023,39.1007442408128,-84.5008637531845,"Central Business District",273189
"28XX RIVER RD",39.101164,-84.531031,"UNDER 18","QUEENSGATE","QUEENSGATE","09/10/2018 08:53:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/10/2018 08:54:00 AM +0000","MON","M - MALE","5 - FATAL","485F7F6F-FF05-446E-B515-0ADB8E01A5E9","1 - DAYLIGHT","185012735","3 - HEAD-ON","01 - DRY","3 - CURVE LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","QUEENSGATE","D - DRIVER","2 - CLOUDY","45204",0.116760179054154,720023,39.1007504756324,-84.5302335225434,"Central Business District",273189
"48XX GRAY RD",39.180653,-84.525555,"51-60","N/A","N/A","04/17/2018 06:45:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"04/17/2018 06:47:00 PM +0000","TUE","M - MALE","5 - FATAL","245A935A-B46C-4207-8251-6BEDF8B2B25A","1 - DAYLIGHT","185005365","6 - ANGLE","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","1 - CLEAR","45232",0.0955390963736263,700059,39.1817500693554,-84.5257150960837,"Winton Hills",276110
"21XX HARRISON AV",39.134711,-84.568621,"UNDER 18","N/A","N/A","09/10/2018 06:42:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/10/2018 06:42:00 AM +0000","MON","F - FEMALE","5 - FATAL","673EAF7E-AD48-4DE5-A4F0-9B44F836EE9B","4 - DARK - LIGHTED ROADWAY","185012736","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","4 - RAIN","45214",0.165909333993995,890038,39.1344975408823,-84.568640146295,"South Fairmount",203599
"N I75 AT 8-1 MM",39.182576,-84.484195,"41-50","N/A","N/A","08/05/2015 08:40:00 AM +0000","07 - ON RAMP","1 - FATAL INJURY",1,"08/05/2015 08:40:00 AM +0000","WED","F - FEMALE","5 - FATAL","29A6FC96-79E4-417C-824A-1E4E0F4E8F45","1 - DAYLIGHT","155010789","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","3 - CURVE LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45237",0.0623829433376338,520059,39.1817378977808,-84.4850492647655,"Bond Hill",199607
"13XX COLUMBIA PY",39.098271,-84.506838,"18-25","N/A","N/A","08/14/2018 12:53:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"08/14/2018 12:53:00 PM +0000","TUE","F - FEMALE","5 - FATAL","902622C7-AA72-4E65-B44B-97BF98977CF7","1 - DAYLIGHT","185011298","6 - ANGLE","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","2 - CLOUDY","45202",0.170045504889527,620022,39.0984963316286,-84.5076413917624,"Central Business District",273189
"15XX GEST ST",39.116267,-84.563696,"31-40","N/A","N/A","04/11/2018 09:04:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"04/11/2018 09:04:00 AM +0000","WED","M - MALE","5 - FATAL","D4EF49B5-A601-4484-9BE1-62232F35D04F","1 - DAYLIGHT","185004978","8 - SIDESWIPE, OPPOSITE DIRECTION","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45204",0.145237405234869,870030,39.1164985277885,-84.5641217202157,"East Price Hill",273561
"S I471 AT 6-0",39.101741,-84.499206,"18-25","N/A","N/A","10/16/2015 12:55:00 PM +0000","07 - ON RAMP","1 - FATAL INJURY",1,"10/16/2015 01:00:00 PM +0000","FRI","M - MALE","5 - FATAL","AC177143-3B4B-4CBA-8E34-6E3798FF5109","1 - DAYLIGHT","155015040","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","",0.128689870249839,580023,39.1007434560103,-84.4986045404209,"Central Business District",273189
"42XX RIDGE AV",39.153096,-84.423416,"OVER 70","N/A","N/A","03/10/2014 03:35:00 PM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"03/10/2014 03:35:00 PM +0000","MON","M - MALE","5 - FATAL","22665BCB-F622-4D70-8EEC-4DEF7024DB56","1 - DAYLIGHT","145001944","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45209",0.20925271707696,250046,39.1524431234548,-84.4240505647468,"Oakley",202657
"N I75 AT 1-9 MM",39.11025,-84.52202,"18-25","N/A","N/A","09/26/2014 03:22:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"10/15/2014 02:35:00 PM +0000","FRI","M - MALE","5 - FATAL","87CC320F-5874-40E8-A3C6-DB54FE43933C","1 - DAYLIGHT","145009230","2 - REAR-END","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","",0.0591416239691329,680027,39.1097493501827,-84.5211966699071,"West End",276647
