"cell_id","lat_cell","long_cell","animals_insects","building related","construction","food","others","police property","service complaint","street_sidewalk","traffic_signal","trash","trees_plants","water leak","zoning_parking","n_request"
20012,39.0758799204781,-84.3720887899555,4,7,0,0,76,7,1,39,1,283,5,0,5,428
20013,39.0781299205592,-84.3720887899533,0,0,0,0,0,0,1,3,0,24,1,0,0,29
20015,39.0826299207212,-84.3720887899489,0,0,0,0,2,0,0,0,1,0,0,0,0,3
20016,39.0848799208022,-84.3720887899467,0,2,0,0,0,0,0,1,0,0,0,0,0,3
20019,39.0916299210448,-84.3720887899401,0,0,0,0,0,0,4,1,0,41,1,0,0,47
20020,39.0938799211257,-84.3720887899379,0,1,0,0,11,0,0,5,0,45,0,0,1,63
20021,39.0961299212065,-84.3720887899357,0,2,0,0,15,0,2,2,0,80,0,0,1,102
20022,39.0983799212873,-84.3720887899335,0,2,0,0,4,2,1,3,0,74,5,0,0,91
30012,39.0758831462979,-84.3743479955261,0,8,0,0,46,4,1,16,0,197,2,0,0,274
30013,39.0781331464321,-84.3743479955234,0,2,0,0,21,0,2,2,0,90,3,0,0,120
30014,39.0803831465662,-84.3743479955207,1,3,0,0,10,0,2,7,0,63,1,2,1,90
30015,39.0826331467003,-84.3743479955181,0,4,0,3,25,0,2,25,0,71,3,1,0,134
30018,39.0893831471023,-84.37434799551,0,0,0,0,3,0,1,3,0,61,0,0,0,68
30019,39.0916331472362,-84.3743479955073,1,2,0,0,10,0,1,1,0,102,2,0,0,119
30020,39.09388314737,-84.3743479955046,1,1,0,0,12,3,4,6,0,62,1,0,0,90
30021,39.0961331475038,-84.374347995502,0,7,0,0,33,0,3,9,0,144,4,0,0,200
30022,39.0983831476375,-84.3743479954993,2,0,1,0,32,3,4,7,0,161,2,0,0,212
30046,39.1523831508322,-84.3743479954349,2,2,0,0,20,5,2,10,0,151,4,0,0,196
40013,39.0781363287123,-84.3766072012987,1,8,0,0,16,3,1,3,0,76,4,0,1,113
40014,39.0803863288988,-84.3766072012955,0,0,0,0,7,0,0,4,0,53,1,1,0,66
40015,39.0826363290853,-84.3766072012924,0,1,0,0,4,0,1,3,0,59,0,0,0,68
40016,39.0848863292717,-84.3766072012893,0,6,1,0,53,0,0,29,1,0,1,0,0,91
40017,39.087136329458,-84.3766072012861,0,0,0,0,1,0,0,0,1,0,0,0,0,2
40018,39.0893863296443,-84.376607201283,0,0,0,0,3,0,3,21,0,38,0,0,0,65
40019,39.0916363298305,-84.3766072012798,0,2,0,0,11,0,2,26,1,97,0,1,0,140
40020,39.0938863300166,-84.3766072012767,1,8,0,0,22,0,0,21,0,96,7,0,0,155
40021,39.0961363302027,-84.3766072012736,0,2,0,0,25,4,0,13,1,116,0,0,0,161
40022,39.0983863303887,-84.3766072012704,1,17,2,0,34,4,2,11,2,192,3,0,0,268
40023,39.1006363305746,-84.3766072012673,0,0,0,0,6,0,3,1,0,60,0,0,0,70
40024,39.1028863307604,-84.3766072012641,0,0,1,0,3,0,1,0,0,19,0,0,0,24
40046,39.1523863348314,-84.376607201195,5,6,0,0,23,13,1,12,0,232,4,0,0,296
50014,39.0803894676381,-84.3788664072728,3,4,0,0,22,1,0,12,1,166,5,2,1,217
50015,39.0826394678762,-84.3788664072692,0,2,0,0,4,0,0,1,0,47,3,1,0,58
50016,39.0848894681142,-84.3788664072656,0,3,0,0,8,0,2,6,0,71,2,0,3,95
50017,39.0871394683522,-84.378866407262,0,2,0,0,19,1,1,19,1,17,0,0,3,63
50018,39.0893894685901,-84.3788664072585,0,6,0,0,4,0,0,7,0,24,1,0,5,47
50019,39.0916394688279,-84.3788664072549,0,1,0,0,1,0,0,1,0,18,2,0,0,23
50020,39.0938894690656,-84.3788664072513,0,0,0,0,4,0,1,1,0,1,0,0,0,7
50021,39.0961394693032,-84.3788664072477,0,6,0,0,23,1,0,8,0,52,1,0,0,91
50022,39.0983894695407,-84.3788664072441,0,0,0,0,9,1,2,6,0,106,2,0,0,126
50023,39.1006394697781,-84.3788664072406,0,0,0,0,6,0,0,2,0,108,0,0,0,116
50024,39.1028894700155,-84.378866407237,0,0,0,0,0,0,0,0,0,48,0,0,0,48
50046,39.1523894752143,-84.3788664071581,6,9,0,0,49,1,2,12,0,224,9,1,0,313
