"cell_id","lat_cell","long_cell","access","dblprk","dnotyld","jywalk","lvisib","lwfws","nobikef","noswlk","other","prkint","prkswlk","speed","vrrlss","wlksig","xwalk","assist","bikes","drives","other","walks","n_qst"
20020,39.0938799211257,-84.3720887899379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30012,39.0758831462979,-84.3743479955261,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
30013,39.0781331464321,-84.3743479955234,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2
30014,39.0803831465662,-84.3743479955207,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,3,4
30019,39.0916331472362,-84.3743479955073,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
40013,39.0781363287123,-84.3766072012987,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,10
50014,39.0803894676381,-84.3788664072728,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
50015,39.0826394678762,-84.3788664072692,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2
50017,39.0871394683522,-84.378866407262,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
50023,39.1006394697781,-84.3788664072406,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,4,6
60015,39.082642563073,-84.3811256134456,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,1,3
60016,39.084892563362,-84.3811256134416,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2
60021,39.0961425648052,-84.3811256134216,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,4,0,8,27
60047,39.1546425722666,-84.3811256133175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
60049,39.1591425728376,-84.3811256133095,0,0,1,2,1,0,0,1,2,0,0,4,0,0,2,0,1,8,0,4,16
