"requestid","requesttyp","requestdat","comments","usertype","near_inter","near_str","strsegid","additional_comments","sna_name","srvy_address","geo_address","lat","long","geo_address_type","geo_accuracy","State","County","City","Name","RegionID","dist","cell_id","lat_cell","long_cell","hood","hood_id"
1878,"Walk signal is too short","12/02/2018","Walk signal near Starbucks turns before you can walk half-way across street. This is bad especially now that more businesses have opened on the block.","walks","BODMAN AL & E 6TH ST","E 6th St","3357792799733579958031","","Downtown","BODMAN AL & E 6TH ST, Cincinnati, OH, USA","BODMAN AL & E 6TH ST, Cincinnati, OH, USA",39.103526,-84.506135,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.101260355018107,610024,39.1029956815969,-84.5053821788502,"Central Business District",273189
5927,"Walk signal is too short","08/03/2018","This is the shortest walk signal in the city and is especially dangerous because of all the cars turning east on 5th from southbound Sycamore. I have been nearly hit and honked at constantly. Extremely vigilance is necessary at this light.","walks","SYCAMORE ST & E 5TH ST","E 5th St","3358668765933591467746","I agree. I have been almost hit 4 times in the past 30 days.","Downtown","SYCAMORE ST & E 5TH ST, Cincinnati, OH, USA","SYCAMORE ST & E 5TH ST, Cincinnati, OH, USA",39.102361,-84.505034,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.101260355018107,610024,39.1029956815969,-84.5053821788502,"Central Business District",273189
168,"Jaywalking","07/02/2018","","bikes","WHETSEL AV & DESMOND ST","Whetsel Av","4761798868547618389013","","Madisonville","WHETSEL AV & DESMOND ST, Cincinnati, OH, USA","WHETSEL AV & DESMOND ST, Cincinnati, OH, USA",39.153507,-84.393925,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville","201948",0.110549465889314,120046,39.1524102366401,-84.3946808543501,"Madisonville",201948
178,"Jaywalking","07/02/2018","","drives","RAVENNA ST & MADISON RD","Madison Rd","4761414837547617578336","","Madisonville","RAVENNA ST & MADISON RD, Cincinnati, OH, USA","RAVENNA ST & MADISON RD, Cincinnati, OH, USA",39.166675,-84.39365,"locality,political","locality","OH","Hamilton","Cincinnati","Madisonville","201948",0.108541096587944,120052,39.1659102400734,-84.3946808543132,"Madisonville",201948
253,"Jaywalking","07/02/2018","People jaywalk in the street, even though there is a stoplight to allow them to cross.","drives","THORP AL & VINE ST","Vine St","3317232777633172887442","","Downtown","THORP AL & VINE ST, Cincinnati, OH, USA","THORP AL & VINE ST, Cincinnati, OH, USA",39.191702,-84.482892,"locality,political","locality","OH","Hamilton","Cincinnati","Carthage","199885",0.120850868009565,510063,39.190736814366,-84.4827900523868,"Carthage",199885
350,"Jaywalking","07/02/2018","","drives","E 8TH ST & GARFIELD PL","E 8th St","3317083863733575438702","","Downtown","E 8TH ST & GARFIELD PL, Cincinnati, OH, USA","E 8TH ST & GARFIELD PL, Cincinnati, OH, USA",39.104469,-84.513802,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.0781558588149655,650025,39.1052480380605,-84.5144190306861,"Central Business District",273189
3526,"Jaywalking","19/02/2018","","drives","EDEN AV & ALBERT SABIN WY","Albert Sabin Wy","3389827141433805671343","","Corryville","EDEN AV & ALBERT SABIN WY, Cincinnati, OH, USA","EDEN AV & ALBERT SABIN WY, Cincinnati, OH, USA",39.139709,-84.505136,"locality,political","locality","OH","Hamilton","Cincinnati","Corryville","200172",0.183305232189225,610040,39.1389957131674,-84.5053821787652,"Corryville",200172
3527,"Jaywalking","19/02/2018","","drives","BURNET AV & KASOTA ST","Burnet Av","3381090099733811351395","","Avondale","BURNET AV & KASOTA ST, Cincinnati, OH, USA","BURNET AV & KASOTA ST, Cincinnati, OH, USA",39.133086,-84.501258,"locality,political","locality","OH","Hamilton","Cincinnati","Corryville","200172",0.134771840987532,590037,39.1322442681282,-84.5008637531039,"Avondale",199345
3528,"Jaywalking","19/02/2018","","drives","BURNET AV & KASOTA ST","Burnet Av","3381135139533811791814","","Corryville","BURNET AV & KASOTA ST, Cincinnati, OH, USA","BURNET AV & KASOTA ST, Cincinnati, OH, USA",39.133086,-84.501258,"locality,political","locality","OH","Hamilton","Cincinnati","Corryville","200172",0.134771840987532,590037,39.1322442681282,-84.5008637531039,"Avondale",199345
3529,"Jaywalking","19/02/2018","","drives","ERKENBRECHER AV & BURNET AV","Burnet Av","3381219217833812582537","","Avondale","ERKENBRECHER AV & BURNET AV, Cincinnati, OH, USA","ERKENBRECHER AV & BURNET AV, Cincinnati, OH, USA",39.128388,-84.501776,"locality,political","locality","OH","Hamilton","Cincinnati","Walnut Hills","204112",0.133810035921423,590035,39.1277442642348,-84.5008637531154,"Walnut Hills",204112
3531,"Jaywalking","19/02/2018","","drives","BURNET AV & ALBERT SABIN WY","Burnet Av","3381090099733811351395","","Avondale","BURNET AV & ALBERT SABIN WY, Cincinnati, OH, USA","BURNET AV & ALBERT SABIN WY, Cincinnati, OH, USA",39.133086,-84.501258,"locality,political","locality","OH","Hamilton","Cincinnati","Corryville","200172",0.134771840987532,590037,39.1322442681282,-84.5008637531039,"Avondale",199345
476,"Jaywalking","07/02/2018","","drives","WALNUT ST & E 5TH ST","Walnut St","3357752746133578267059","","Downtown","WALNUT ST & E 5TH ST, Cincinnati, OH, USA","WALNUT ST & E 5TH ST, Cincinnati, OH, USA",39.10188,-84.508142,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.100921445185443,620024,39.1029963356098,-84.5076413917523,"Central Business District",273189
59,"Jaywalking","07/02/2018","Overflow parking lot for Crossroads is where a lot of MadTree patrons park. They frequently run across 5 lanes of traffic.","drives","FORRER ST & MARBURG AV","Madison Rd","4251992642342633267423","","Oakley","FORRER ST & MARBURG AV, Cincinnati, OH, USA","FORRER ST & MARBURG AV, Cincinnati, OH, USA",39.157855,-84.432071,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley","202657",0.108449441745226,290048,39.1569517620136,-84.4330874038865,"Oakley",202657
6113,"Jaywalking","09/03/2018","Medical staff consistently jaywalk.","drives","ALBERT SABIN WY & LEVINE DR","Albert Sabin Wy","3389827141433805671343","","Corryville","ALBERT SABIN WY & LEVINE DR, Cincinnati, OH, USA","ALBERT SABIN WY & LEVINE DR, Cincinnati, OH, USA",39.132748,-84.460214,"locality,political","locality","OH","Hamilton","Cincinnati","Evanston","200632",0.0939084584375059,410037,39.1322234661001,-84.4601979335091,"Evanston",200632
110,"Vehicles run red lights or stop signs","07/02/2018","When trying to cross the street the cars turning right do not stop for the red light.  The walk light does not stay long enough to cross.   The cars turn right on red without stopping first  and are not looking for pedestrians.","travels (other)","RIVER RD & FAIRBANKS AV","Fairbanks Av","2891087345128912763080","","Riverside","RIVER RD & FAIRBANKS AV, Cincinnati, OH, USA","RIVER RD & FAIRBANKS AV, Cincinnati, OH, USA",39.100269,-84.670744,"locality,political","locality","OH","Hamilton","Cincinnati","Riverside","203181",0.113775443231307,1350023,39.1006763118141,-84.6725638618917,"Riverside",203181
113,"Vehicles run red lights or stop signs","07/02/2018","Drivers on Allston and 34th do not come to complete stops before turning - creating a dangerous situation for pedestrians.","walks","MINOT AV & 34TH AV","Allston St","4250285563342505145322","","Oakley","MINOT AV & 34TH AV, Cincinnati, OH, USA","MINOT AV & 34TH AV, Cincinnati, OH, USA",39.152684,-84.433139,"locality,political","locality","OH","Hamilton","Cincinnati","Oakley","202657",0.109127570397876,290046,39.1524517595186,-84.4330874039045,"Oakley",202657
183,"Vehicles run red lights or stop signs","07/02/2018","as cars head northbound, there is a hill and many are going too fast to see the light and to stop when the light here is red.  both driving and walking you need to be extra cautious in this intersection!","walks","MONTGOMERY RD & ROBISON RD","Montgomery Rd","4284234771742847747994","","Kennedy Heights","MONTGOMERY RD & ROBISON RD, Cincinnati, OH, USA","MONTGOMERY RD & ROBISON RD, Cincinnati, OH, USA",39.185919,-84.420326,"locality,political","locality","OH","Hamilton","Cincinnati","Pleasant Ridge","202946",0.147859267062473,230061,39.1861885591767,-84.4195321458951,"Kennedy Heights",201559
1876,"Vehicles run red lights or stop signs","12/02/2018","People run red lights and they also speed thru as soon as light turns green to avoid waiting on people in crosswalk.","walks","E 6TH ST & SYCAMORE ST","Sycamore St","3358588813333586197958","","Downtown","E 6TH ST & SYCAMORE ST, Cincinnati, OH, USA","E 6TH ST & SYCAMORE ST, Cincinnati, OH, USA",39.103432,-84.506783,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.100921445185443,620024,39.1029963356098,-84.5076413917523,"Central Business District",273189
190,"Vehicles run red lights or stop signs","07/02/2018","","drives","E OGDEN PL & E OGDEN PL TERM E OF VINE ST","Walnut St","3357826705933479046603","","Downtown","E OGDEN PL & E OGDEN PL TERM E OF VINE ST, Cincinnati, OH, USA","E OGDEN PL & E OGDEN PL TERM E OF VINE ST, Cincinnati, OH, USA",39.099219,-84.514169,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District","273189",0.113775443231307,650022,39.0984980320062,-84.5144190306992,"Central Business District",273189
2264,"Vehicles run red lights or stop signs","13/02/2018","Vehicles pulling into Holmes Hospital run the stop sign.  Watched 3 cars in a row run the stop sign in front of the shuttle that had the right of way.","travels (other)","EDEN AV & ALBERT SABIN WY","Eden Av","3389786105133898271414","","Corryville","EDEN AV & ALBERT SABIN WY, Cincinnati, OH, USA","EDEN AV & ALBERT SABIN WY, Cincinnati, OH, USA",39.139709,-84.505136,"locality,political","locality","OH","Hamilton","Cincinnati","Corryville","200172",0.183305232189225,610040,39.1389957131674,-84.5053821787652,"Corryville",200172
