"CSR","lat","long","accuracy","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"SR18078766",39.1308705,-84.5221352,"street_address",0.0778834313775087,680036,39.1299993684835,-84.5211966698744,"CUF",273417
"SR18068816",39.1027252,-84.5011852,"street_address",0.0826952077333952,590024,39.1029942427687,-84.5008637531787,"Mt. Adams",274619
"SR18062647",39.1552665,-84.4269984,"premise",0.0680035422363641,260047,39.1546953490388,-84.4263097743181,"Oakley",202657
"SR18056944",39.1837159,-84.4204466,"premise",0.111958444548927,230060,39.1839385581493,-84.4195321459036,"Pleasant Ridge",202946
"SR18052066",39.1068873,-84.5051633,"premise",0.0518327056144731,610026,39.1074956855537,-84.5053821788396,"Central Business District",273189
"SR18045111",39.0976654,-84.5113225,"premise",0.106948931947745,640022,39.0984975088131,-84.5121598176844,"Central Business District",273189
"SR18042106",39.1373301,-84.4370825,"premise",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR18041986",39.1033235,-84.511853,"street_address",0.130949870522914,640024,39.1029975128329,-84.5121598176752,"Central Business District",273189
"SR18041664",39.1116232,-84.5170782,"premise",0.0802724798509894,660028,39.1119985237487,-84.5166782437214,"Over-The-Rhine",202750
"SR18041106",39.1422759,-84.4414662,"street_address",0.0983178689645584,330041,39.1412096908286,-84.4421242452358,"Hyde Park",201414
"SR18041027",39.1526219,-84.4314215,"premise",0.125806042124866,280046,39.1524496659273,-84.4308281939085,"Oakley",202657
"SR18038626",39.1181563,-84.5227923,"premise",0.0799303977243834,690031,39.1187497071708,-84.5234558830214,"Over-The-Rhine",202750
"SR18036480",39.1408107,-84.4189235,"premise",0.0900021958221684,230041,39.1411885385543,-84.4195321460645,"Hyde Park",201414
"SR18036166",39.1115337,-84.5039683,"premise",0.0831939400297048,600028,39.111994991848,-84.5031229659693,"Mt. Auburn",274621
"SR18035146",39.1105234,-84.5670128,"street_address",0.0533644191781698,880027,39.1097480420887,-84.5663809332601,"East Price Hill",273561
"SR18033783",39.1276553,-84.5189005,"street_address",0.0784014435859034,670035,39.1277489739748,-84.518937456772,"CUF",273417
"SR18032462",39.1080736,-84.5669098,"premise",0.0810276085097801,880026,39.1074980400729,-84.5663809332587,"East Price Hill",273561
"SR18026037",39.1300734,-84.5109187,"street_address",0.0815875370633058,630036,39.1299969699657,-84.5099006046367,"Corryville",200172
"SR18025282",39.137441,-84.43745,"street_address",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
"SR18023308",39.1426188,-84.4600697,"premise",0.0485725911639243,410042,39.1434734741252,-84.4601979334657,"Evanston",200632
"SR18017994",39.1783624,-84.5464317,"street_address",0.084047765118552,790057,39.1772508505442,-84.546048014981,"Northside",274791
"SR18006490",39.1395983,-84.5032227,"street_address",0.115504802372581,600040,39.1389950153712,-84.5031229659028,"Corryville",200172
"SR18006155",39.125361,-84.434716,"street_address",0.113739233004853,300034,39.1254537940834,-84.4353466141416,"Hyde Park",201414
"SR18002599",39.1449339,-84.439733,"premise",0.114369783485809,320043,39.1457077745546,-84.4398650347065,"Oakley",202657
"SR17104516",39.1106377,-84.5705932,"premise",0.0524343678753265,900027,39.1097469520131,-84.5708993592572,"East Price Hill",273561
"SR17101395",39.1380237,-84.4414305,"premise",0.0811773786926737,330040,39.1389596894487,-84.4421242452449,"Hyde Park",201414
"SR17099540",39.0965611,-84.3872211,"street_address",0.150039506799077,90021,39.0961515897209,-84.387903233114,"Mt. Washington",274624
"SR17094210",39.158204,-84.4178007,"premise",0.0821614736404864,220049,39.1591861914176,-84.4172729368582,"Oakley",202657
"SR17093592",39.1369539,-84.4372671,"premise",0.120745868333814,310039,39.1367058066428,-84.4376058243559,"Hyde Park",201414
