"srvy_address","strsegid","geo_address","lat","long","geo_address_type","geo_accuracy","State","County","City","Name","RegionID","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"RIDGETOP WY & OAKTREE PL, Cincinnati, OH, USA","2516573751825174787628","RIDGETOP WY & OAKTREE PL, Cincinnati, OH, USA",39.127624,-84.583593,"locality,political","locality","OH","Hamilton","Cincinnati","Westwood",204284,0.164170066086913,960035,39.1277426507058,-84.5844546362795,"Westwood",204284
"CENTRAL AV & W 8TH ST, Cincinnati, OH, USA","3315247840033153148042","CENTRAL AV & W 8TH ST, Cincinnati, OH, USA",39.103705,-84.520253,"locality,political","locality","OH","Hamilton","Cincinnati","West End",276647,0.100943252079673,680024,39.1029993440687,-84.521196669918,"West End",276647
"CENTRAL AV & W 9TH ST, Cincinnati, OH, USA","3315192865633153438678","CENTRAL AV & W 9TH ST, Cincinnati, OH, USA",39.10489,-84.51726,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District",273189,0.122682067773326,660025,39.1052485176777,-84.5166782437338,"Central Business District",273189
"CENTRAL AV & W 7TH ST, Cincinnati, OH, USA","3313997791233153148042","CENTRAL AV & W 7TH ST, Cincinnati, OH, USA",39.103148,-84.517252,"locality,political","locality","OH","Hamilton","Cincinnati","Central Business District",273189,0.0997335247522626,660024,39.1029985156525,-84.5166782437379,"Central Business District",273189
"WOOLPER AV & MCALPIN AV, Cincinnati, OH, USA","3275178531032761205201","WOOLPER AV & MCALPIN AV, Cincinnati, OH, USA",39.150234,-84.51845,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton",200052,0.126203920058126,670045,39.1502489941798,-84.5189374567332,"Clifton",200052
"MORTEN ST & OBSERVATORY AV, Cincinnati, OH, USA","4077751020640781120167","MORTEN ST & OBSERVATORY AV, Cincinnati, OH, USA",39.137381,-84.440589,"locality,political","locality","OH","Hamilton","Cincinnati","Hyde Park",201414,0.118214532209475,320039,39.1367077691612,-84.4398650347427,"Hyde Park",201414
"KIRBY AV & BRUCE AV, Cincinnati, OH, USA","2988295271429883721689","KIRBY AV & BRUCE AV, Cincinnati, OH, USA",39.192758,-84.567595,"locality,political","locality","OH","Hamilton","Cincinnati","Mt. Airy",274620,0.120012599847322,890064,39.1929975925893,-84.5686401463396,"Mt. Airy",274620
"VINE ST & NIXON ST, Cincinnati, OH, USA","3388570073933886361744","VINE ST & NIXON ST, Cincinnati, OH, USA",39.191702,-84.482892,"locality,political","locality","OH","Hamilton","Cincinnati","Carthage",199885,0.120587423950508,510063,39.190736814366,-84.4827900523868,"Carthage",199885
"VINE ST & JEFFERSON AV, Cincinnati, OH, USA","3388597991833887619909","VINE ST & JEFFERSON AV, Cincinnati, OH, USA",39.114419,-84.516319,"locality,political","locality","OH","Hamilton","Cincinnati","Over-The-Rhine",202750,0.067999483229627,660029,39.1142485257709,-84.5166782437173,"Over-The-Rhine",202750
"EDEN AV & GOODMAN ST, Cincinnati, OH, USA","3389718039633897861051","EDEN AV & GOODMAN ST, Cincinnati, OH, USA",39.139709,-84.505136,"locality,political","locality","OH","Hamilton","Cincinnati","Corryville",200172,0.115554860574437,610040,39.1389957131674,-84.5053821787652,"Corryville",200172
"MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA","3273599531032751785490","MIDDLETON AV & MCALPIN AV, Cincinnati, OH, USA",39.150802,-84.531419,"locality,political","locality","OH","Hamilton","Cincinnati","Clifton",200052,0.108541096587944,730045,39.150250695196,-84.5324927356855,"Clifton",200052
