"address_x","lat","long","age","community_council_neighborhood","cpd_neighborhood","crashdate","crashlocation","crashseverity","crashseverityid","datecrashreported","dayofweek","gender","injuries","instanceid","lightconditionsprimary","localreportno","mannerofcrash","roadconditionsprimary","roadcontour","roadsurface","sna_neighborhood","typeofperson","weather","zip","injury_type_num","cost","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"30XX MCHENRY AV",39.139973,-84.580285,"41-50","N/A","N/A","02/07/2017 09:08:00 AM +0000","02 - FOUR-WAY INTERSECTION","2 - INJURY",2,"02/07/2017 09:13:00 AM +0000","TUE","M - MALE","2 - POSSIBLE","CA8AC197-C7A0-45FA-885C-54CD27834A19","1 - DAYLIGHT","175001854","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45211",2,1.103,0.102128585628099,940040,39.1389942739565,-84.5799362108133,"Westwood",204284
"45XX GLENWAY AV",39.113422,-84.589044,"18-25","N/A","N/A","11/09/2016 06:03:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"11/09/2016 06:05:00 PM +0000","WED","F - FEMALE","2 - POSSIBLE","85E3FDFD-A0C4-4D6B-B9AF-C4CF66C0502E","4 - DARK - LIGHTED ROADWAY","165018600","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","3 - CURVE LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45205",2,1.103,0.173592942479195,980029,39.1142408513841,-84.5889730615196,"West Price HIll",275981
"25XX WARSAW AV",39.106968,-84.555453,"OVER 70","N/A","N/A","12/09/2017 11:21:00 AM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"12/09/2017 11:23:00 AM +0000","SAT","M - MALE","4 - INCAPACITATING","0C0E512B-40DF-413E-8782-D90B5F4262EF","1 - DAYLIGHT","175018781","2 - REAR-END","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45204",4,0.141,0.102384970942955,830026,39.1075000021773,-84.5550848677536,"East Price Hill",273561
"33XX BOUDINOT",39.149517,-84.603591,"51-60","WESTWOOD","WESTWOOD","11/22/2016 11:31:00 AM +0000","02 - FOUR-WAY INTERSECTION","2 - INJURY",2,"11/22/2016 11:32:00 AM +0000","TUE","M - MALE","2 - POSSIBLE","55EF7BCB-D376-41E3-95ED-3767434BB90E","1 - DAYLIGHT","165019370","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","WESTWOOD","P - PEDESTRIAN","1 - CLEAR","45211",2,1.103,0.0861827264949543,1040045,39.1502344701054,-84.6025283358433,"Westwood",204284
"46XX HAMILTON AV",39.153366,-84.536646,"UNDER 18","CLIFTON","CAMP  WASHINGTON","08/21/2017 06:35:53 AM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"08/21/2017 06:38:47 AM +0000","MON","F - FEMALE","3 - NON-INCAPACITATING","3CB4BAE9-1CD7-4F6D-9CD9-3399795191E9","1 - DAYLIGHT","175012483","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","1 - CONCRETE","CAMP WASHINGTON","P - PEDESTRIAN","1 - CLEAR","45223",3,0.304,0.112998964392178,750046,39.1525009153223,-84.5370111621094,"Clifton",200052
"1XX WALNUT ST",39.09926,-84.510087,"18-25","N/A","N/A","09/08/2018 11:04:00 PM +0000","02 - FOUR-WAY INTERSECTION","2 - INJURY",2,"09/08/2018 11:04:00 PM +0000","SAT","M - MALE","3 - NON-INCAPACITATING","CB2D9665-0B53-4BB8-817F-998F4A2F415F","4 - DARK - LIGHTED ROADWAY","185012662","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","4 - RAIN","45202",3,0.304,0.195556727239186,630022,39.0984969420206,-84.5099006047046,"Central Business District",273189
"8XX HAWTHORNE AV",39.105476,-84.562221,"31-40","EAST PRICE HILL","EAST PRICE HILL","07/28/2015 07:00:00 PM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"07/28/2015 07:00:00 PM +0000","TUE","M - MALE","3 - NON-INCAPACITATING","C018D878-BEEB-49B0-8A9A-51805BD541B9","1 - DAYLIGHT","155010372","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","EAST PRICE HILL","P - PEDESTRIAN","1 - CLEAR","45205",3,0.304,0.106073212492785,860025,39.10524895369,-84.5618625071325,"East Price Hill",273561
"33XX ALAMO AV",39.162632,-84.423867,"18-25","N/A","N/A","02/13/2016 04:50:00 PM +0000","02 - FOUR-WAY INTERSECTION","2 - INJURY",2,"02/13/2016 04:55:00 PM +0000","SAT","F - FEMALE","2 - POSSIBLE","53050D27-D9E5-483F-9E10-F2E78105D75C","1 - DAYLIGHT","165002217","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45209",2,1.103,0.103469252362975,250051,39.1636931289872,-84.4240505647034,"Oakley",202657
"18XX VINE ST",39.116053,-84.516628,"18-25","N/A","N/A","11/09/2016 11:04:00 AM +0000","01 - NOT AN INTERSECTION","2 - INJURY",2,"11/09/2016 11:06:00 AM +0000","WED","M - MALE","2 - POSSIBLE","AFBBE851-6362-4926-96A7-5EF8AD83BE01","1 - DAYLIGHT","165018580","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45202",2,1.103,0.168576370115149,660030,39.1164985277923,-84.5166782437132,"Over-The-Rhine",202750
"8XX TWEED AV",39.126781,-84.426051,"OVER 70","N/A","N/A","09/20/2017 01:05:00 PM +0000","03 - T-INTERSECTION","2 - INJURY",2,"09/20/2017 01:10:00 PM +0000","WED","F - FEMALE","2 - POSSIBLE","60894C72-F267-4010-A139-7F05A574605C","1 - DAYLIGHT","175014225","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45226",2,1.103,0.10795797412352,260035,39.1276953352884,-84.4263097744235,"Mt. Lookout",274623
