"ix","iy","lat","long"
1,1,39.05,-84.3687
2,1,39.0500032905829,-84.3709592052635
3,1,39.050006537582,-84.373218410736
4,1,39.0500097409976,-84.3754776164149
5,1,39.0500129008295,-84.3777368222974
6,1,39.0500160170777,-84.3799960283806
7,1,39.0500190897422,-84.3822552346618
8,1,39.050022118823,-84.3845144411381
9,1,39.0500251043201,-84.3867736478069
10,1,39.0500280462335,-84.3890328546652
11,1,39.0500309445631,-84.3912920617104
12,1,39.0500337993091,-84.3935512689395
13,1,39.0500366104713,-84.39581047635
14,1,39.0500393780497,-84.3980696839388
15,1,39.0500421020444,-84.4003288917034
16,1,39.0500447824553,-84.4025880996408
17,1,39.0500474192825,-84.4048473077482
18,1,39.0500500125259,-84.407106516023
19,1,39.0500525621855,-84.4093657244623
20,1,39.0500550682614,-84.4116249330633
21,1,39.0500575307534,-84.4138841418232
22,1,39.0500599496616,-84.4161433507393
23,1,39.050062324986,-84.4184025598088
24,1,39.0500646567266,-84.4206617690288
25,1,39.0500669448834,-84.4229209783966
26,1,39.0500691894563,-84.4251801879093
27,1,39.0500713904454,-84.4274393975643
28,1,39.0500735478507,-84.4296986073587
29,1,39.0500756616721,-84.4319578172897
30,1,39.0500777319097,-84.4342170273546
31,1,39.0500797585634,-84.4364762375505
32,1,39.0500817416332,-84.4387354478746
33,1,39.0500836811192,-84.4409946583243
34,1,39.0500855770213,-84.4432538688966
35,1,39.0500874293395,-84.4455130795888
36,1,39.0500892380738,-84.4477722903981
37,1,39.0500910032242,-84.4500315013218
38,1,39.0500927247907,-84.4522907123569
39,1,39.0500944027734,-84.4545499235008
40,1,39.0500960371721,-84.4568091347507
41,1,39.0500976279869,-84.4590683461038
42,1,39.0500991752178,-84.4613275575572
43,1,39.0501006788648,-84.4635867691082
44,1,39.0501021389278,-84.465845980754
45,1,39.0501035554069,-84.4681051924918
46,1,39.0501049283021,-84.4703644043189
47,1,39.0501062576134,-84.4726236162323
48,1,39.0501075433407,-84.4748828282295
49,1,39.050108785484,-84.4771420403075
50,1,39.0501099840435,-84.4794012524635
51,1,39.0501111390189,-84.4816604646949
52,1,39.0501122504105,-84.4839196769987
53,1,39.050113318218,-84.4861788893723
54,1,39.0501143424416,-84.4884381018127
55,1,39.0501153230813,-84.4906973143173
56,1,39.050116260137,-84.4929565268833
57,1,39.0501171536087,-84.4952157395078
58,1,39.0501180034964,-84.497474952188
59,1,39.0501188098002,-84.4997341649213
60,1,39.05011957252,-84.5019933777047
61,1,39.0501202916558,-84.5042525905355
62,1,39.0501209672076,-84.5065118034109
63,1,39.0501215991755,-84.5087710163282
64,1,39.0501221875594,-84.5110302292845
65,1,39.0501227323592,-84.5132894422771
66,1,39.0501232335751,-84.5155486553031
67,1,39.0501236912071,-84.5178078683597
68,1,39.050124105255,-84.5200670814443
69,1,39.0501244757189,-84.5223262945539
70,1,39.0501248025989,-84.5245855076859
71,1,39.0501250858948,-84.5268447208374
72,1,39.0501253256068,-84.5291039340056
73,1,39.0501255217348,-84.5313631471878
74,1,39.0501256742788,-84.5336223603811
75,1,39.0501257832387,-84.5358815735827
76,1,39.0501258486147,-84.53814078679
77,1,39.0501258704067,-84.5404
78,1,39.0501258486147,-84.54265921321
79,1,39.0501257832387,-84.5449184264173
80,1,39.0501256742788,-84.5471776396189
81,1,39.0501255217348,-84.5494368528123
82,1,39.0501253256068,-84.5516960659944
83,1,39.0501250858948,-84.5539552791626
84,1,39.0501248025989,-84.5562144923141
85,1,39.0501244757189,-84.5584737054461
86,1,39.050124105255,-84.5607329185557
87,1,39.0501236912071,-84.5629921316403
88,1,39.0501232335751,-84.565251344697
89,1,39.0501227323592,-84.567510557723
90,1,39.0501221875594,-84.5697697707155
91,1,39.0501215991755,-84.5720289836718
92,1,39.0501209672076,-84.5742881965891
93,1,39.0501202916558,-84.5765474094645
94,1,39.05011957252,-84.5788066222953
95,1,39.0501188098002,-84.5810658350788
96,1,39.0501180034964,-84.583325047812
97,1,39.0501171536087,-84.5855842604923
98,1,39.0501162601369,-84.5878434731168
99,1,39.0501153230813,-84.5901026856827
100,1,39.0501143424416,-84.5923618981873
101,1,39.050113318218,-84.5946211106278
102,1,39.0501122504105,-84.5968803230013
103,1,39.0501111390189,-84.5991395353051
104,1,39.0501099840435,-84.6013987475365
105,1,39.050108785484,-84.6036579596926
106,1,39.0501075433407,-84.6059171717705
107,1,39.0501062576134,-84.6081763837677
108,1,39.0501049283021,-84.6104355956812
109,1,39.0501035554069,-84.6126948075082
110,1,39.0501021389278,-84.614954019246
111,1,39.0501006788648,-84.6172132308918
112,1,39.0500991752178,-84.6194724424428
113,1,39.0500976279869,-84.6217316538962
114,1,39.0500960371721,-84.6239908652493
115,1,39.0500944027734,-84.6262500764992
116,1,39.0500927247907,-84.6285092876431
117,1,39.0500910032242,-84.6307684986783
118,1,39.0500892380738,-84.6330277096019
119,1,39.0500874293395,-84.6352869204112
120,1,39.0500855770213,-84.6375461311034
121,1,39.0500836811192,-84.6398053416757
122,1,39.0500817416332,-84.6420645521254
123,1,39.0500797585634,-84.6443237624495
124,1,39.0500777319097,-84.6465829726454
125,1,39.0500756616721,-84.6488421827103
126,1,39.0500735478507,-84.6511013926413
127,1,39.0500713904454,-84.6533606024357
128,1,39.0500691894563,-84.6556198120907
129,1,39.0500669448834,-84.6578790216034
130,1,39.0500646567266,-84.6601382309712
131,1,39.050062324986,-84.6623974401912
132,1,39.0500599496616,-84.6646566492607
133,1,39.0500575307534,-84.6669158581768
134,1,39.0500550682614,-84.6691750669367
135,1,39.0500525621855,-84.6714342755377
136,1,39.0500500125259,-84.673693483977
137,1,39.0500474192825,-84.6759526922518
138,1,39.0500447824554,-84.6782119003593
139,1,39.0500421020444,-84.6804711082967
140,1,39.0500393780497,-84.6827303160612
141,1,39.0500366104713,-84.6849895236501
142,1,39.0500337993091,-84.6872487310605
143,1,39.0500309445631,-84.6895079382897
144,1,39.0500280462335,-84.6917671453348
145,1,39.0500251043201,-84.6940263521931
146,1,39.050022118823,-84.6962855588619
147,1,39.0500190897422,-84.6985447653382
148,1,39.0500160170777,-84.7008039716194
149,1,39.0500129008295,-84.7030631777026
150,1,39.0500097409976,-84.7053223835851
151,1,39.0500065375821,-84.707581589264
152,1,39.0500032905829,-84.7098407947366
153,1,39.05,-84.7121
1,2,39.05225,-84.3687
2,2,39.0522532906373,-84.370959205263
3,2,39.0522565376902,-84.373218410735
4,2,39.0522597411588,-84.3754776164135
5,2,39.0522629010429,-84.3777368222955
6,2,39.0522660173427,-84.3799960283783
7,2,39.052269090058,-84.382255234659
8,2,39.052272119189,-84.384514441135
9,2,39.0522751047355,-84.3867736478033
10,2,39.0522780466976,-84.3890328546613
11,2,39.0522809450752,-84.3912920617061
12,2,39.0522837998683,-84.393551268935
13,2,39.0522866110771,-84.3958104763451
14,2,39.0522893787013,-84.3980696839337
15,2,39.0522921027411,-84.400328891698
16,2,39.0522947831964,-84.4025880996351
17,2,39.0522974200672,-84.4048473077424
18,2,39.0523000133535,-84.4071065160169
19,2,39.0523025630553,-84.409365724456
20,2,39.0523050691726,-84.4116249330568
21,2,39.0523075317054,-84.4138841418166
22,2,39.0523099506536,-84.4161433507325
23,2,39.0523123260174,-84.4184025598018
24,2,39.0523146577965,-84.4206617690217
25,2,39.0523169459912,-84.4229209783894
26,2,39.0523191906013,-84.4251801879021
27,2,39.0523213916268,-84.427439397557
28,2,39.0523235490677,-84.4296986073513
29,2,39.0523256629241,-84.4319578172822
30,2,39.0523277331959,-84.434217027347
31,2,39.0523297598832,-84.4364762375429
32,2,39.0523317429858,-84.438735447867
33,2,39.0523336825039,-84.4409946583167
34,2,39.0523355784374,-84.443253868889
35,2,39.0523374307862,-84.4455130795812
36,2,39.0523392395505,-84.4477722903906
37,2,39.0523410047301,-84.4500315013143
38,2,39.0523427263251,-84.4522907123495
39,2,39.0523444043355,-84.4545499234934
40,2,39.0523460387613,-84.4568091347434
41,2,39.0523476296024,-84.4590683460965
42,2,39.0523491768589,-84.46132755755
43,2,39.0523506805308,-84.4635867691011
44,2,39.052352140618,-84.465845980747
45,2,39.0523535571205,-84.468105192485
46,2,39.0523549300384,-84.4703644043121
47,2,39.0523562593717,-84.4726236162257
48,2,39.0523575451203,-84.474882828223
49,2,39.0523587872842,-84.4771420403012
50,2,39.0523599858634,-84.4794012524574
51,2,39.052361140858,-84.4816604646889
52,2,39.0523622522679,-84.4839196769929
53,2,39.0523633200932,-84.4861788893666
54,2,39.0523643443337,-84.4884381018073
55,2,39.0523653249896,-84.4906973143121
56,2,39.0523662620608,-84.4929565268782
57,2,39.0523671555473,-84.4952157395029
58,2,39.0523680054491,-84.4974749521834
59,2,39.0523688117662,-84.4997341649168
60,2,39.0523695744986,-84.5019933777005
61,2,39.0523702936463,-84.5042525905315
62,2,39.0523709692093,-84.5065118034072
63,2,39.0523716011877,-84.5087710163247
64,2,39.0523721895813,-84.5110302292812
65,2,39.0523727343902,-84.513289442274
66,2,39.0523732356144,-84.5155486553003
67,2,39.0523736932539,-84.5178078683572
68,2,39.0523741073086,-84.520067081442
69,2,39.0523744777787,-84.5223262945519
70,2,39.0523748046641,-84.5245855076841
71,2,39.0523750879647,-84.5268447208359
72,2,39.0523753276806,-84.5291039340043
73,2,39.0523755238119,-84.5313631471867
74,2,39.0523756763584,-84.5336223603803
75,2,39.0523757853201,-84.5358815735822
76,2,39.0523758506972,-84.5381407867897
77,2,39.0523758724896,-84.5404
78,2,39.0523758506972,-84.5426592132103
79,2,39.0523757853201,-84.5449184264178
80,2,39.0523756763584,-84.5471776396197
81,2,39.0523755238119,-84.5494368528133
82,2,39.0523753276806,-84.5516960659957
83,2,39.0523750879647,-84.5539552791642
84,2,39.0523748046641,-84.5562144923159
85,2,39.0523744777787,-84.5584737054481
86,2,39.0523741073086,-84.560732918558
87,2,39.0523736932539,-84.5629921316428
88,2,39.0523732356144,-84.5652513446997
89,2,39.0523727343902,-84.567510557726
90,2,39.0523721895813,-84.5697697707188
91,2,39.0523716011876,-84.5720289836753
92,2,39.0523709692093,-84.5742881965928
93,2,39.0523702936463,-84.5765474094685
94,2,39.0523695744986,-84.5788066222995
95,2,39.0523688117662,-84.5810658350832
96,2,39.0523680054491,-84.5833250478166
97,2,39.0523671555473,-84.5855842604971
98,2,39.0523662620608,-84.5878434731218
99,2,39.0523653249896,-84.5901026856879
100,2,39.0523643443337,-84.5923618981927
101,2,39.0523633200932,-84.5946211106334
102,2,39.0523622522679,-84.5968803230071
103,2,39.052361140858,-84.5991395353111
104,2,39.0523599858634,-84.6013987475426
105,2,39.0523587872842,-84.6036579596989
106,2,39.0523575451203,-84.605917171777
107,2,39.0523562593717,-84.6081763837743
108,2,39.0523549300384,-84.6104355956879
109,2,39.0523535571205,-84.612694807515
110,2,39.052352140618,-84.614954019253
111,2,39.0523506805308,-84.6172132308989
112,2,39.0523491768589,-84.61947244245
113,2,39.0523476296024,-84.6217316539035
114,2,39.0523460387613,-84.6239908652566
115,2,39.0523444043355,-84.6262500765066
116,2,39.0523427263251,-84.6285092876505
117,2,39.0523410047301,-84.6307684986858
118,2,39.0523392395505,-84.6330277096094
119,2,39.0523374307862,-84.6352869204188
120,2,39.0523355784374,-84.637546131111
121,2,39.0523336825039,-84.6398053416833
122,2,39.0523317429858,-84.642064552133
123,2,39.0523297598832,-84.6443237624571
124,2,39.0523277331959,-84.646582972653
125,2,39.0523256629241,-84.6488421827178
126,2,39.0523235490677,-84.6511013926488
127,2,39.0523213916268,-84.6533606024431
128,2,39.0523191906013,-84.655619812098
129,2,39.0523169459912,-84.6578790216106
130,2,39.0523146577965,-84.6601382309783
131,2,39.0523123260174,-84.6623974401982
132,2,39.0523099506536,-84.6646566492675
133,2,39.0523075317054,-84.6669158581834
134,2,39.0523050691726,-84.6691750669432
135,2,39.0523025630553,-84.671434275544
136,2,39.0523000133535,-84.6736934839831
137,2,39.0522974200672,-84.6759526922576
138,2,39.0522947831964,-84.6782119003649
139,2,39.0522921027411,-84.6804711083021
140,2,39.0522893787013,-84.6827303160663
141,2,39.0522866110771,-84.6849895236549
142,2,39.0522837998683,-84.687248731065
143,2,39.0522809450752,-84.6895079382939
144,2,39.0522780466975,-84.6917671453387
145,2,39.0522751047355,-84.6940263521967
146,2,39.052272119189,-84.696285558865
147,2,39.052269090058,-84.698544765341
148,2,39.0522660173427,-84.7008039716218
149,2,39.0522629010429,-84.7030631777045
150,2,39.0522597411588,-84.7053223835865
151,2,39.0522565376902,-84.707581589265
152,2,39.0522532906373,-84.7098407947371
153,2,39.05225,-84.7121
1,3,39.0545,-84.3687
2,3,39.0545032906917,-84.3709592052624
3,3,39.0545065377984,-84.373218410734
4,3,39.0545097413199,-84.375477616412
5,3,39.0545129012563,-84.3777368222936
6,3,39.0545160176076,-84.3799960283759
7,3,39.0545190903738,-84.3822552346563
8,3,39.0545221195549,-84.3845144411318
9,3,39.0545251051507,-84.3867736477998
10,3,39.0545280471615,-84.3890328546574
11,3,39.054530945587,-84.3912920617019
12,3,39.0545338004274,-84.3935512689305
13,3,39.0545366116827,-84.3958104763403
14,3,39.0545393793527,-84.3980696839286
15,3,39.0545421034375,-84.4003288916926
16,3,39.0545447839372,-84.4025880996295
17,3,39.0545474208516,-84.4048473077365
18,3,39.0545500141808,-84.4071065160108
19,3,39.0545525639248,-84.4093657244497
20,3,39.0545550700835,-84.4116249330504
21,3,39.054557532657,-84.41388414181
