"ix","iy","cell_id","lat","long","State","County","City","Name","RegionID"
24,2,240002,39.0534408078956,-84.4217913556886,"OH","Hamilton","Cincinnati","California","199824"
25,2,250002,39.0534430743166,-84.424050565129,"OH","Hamilton","Cincinnati","California","199824"
23,3,230003,39.0556884989399,-84.419532146386,"OH","Hamilton","Cincinnati","California","199824"
24,3,240003,39.055690808984,-84.42179135568,"OH","Hamilton","Cincinnati","California","199824"
25,3,250003,39.0556930754424,-84.4240505651204,"OH","Hamilton","Cincinnati","California","199824"
26,3,260003,39.0556952983152,-84.4263097747044,"OH","Hamilton","Cincinnati","California","199824"
21,4,210004,39.0579337490662,-84.4150137282404,"OH","Hamilton","Cincinnati","California","199824"
22,4,220004,39.0579361463211,-84.417272937233,"OH","Hamilton","Cincinnati","California","199824"
23,4,230004,39.0579384999897,-84.4195321463776,"OH","Hamilton","Cincinnati","California","199824"
24,4,240004,39.0579408100719,-84.4217913556714,"OH","Hamilton","Cincinnati","California","199824"
25,4,250004,39.0579430765678,-84.4240505651117,"OH","Hamilton","Cincinnati","California","199824"
26,4,260004,39.0579452994773,-84.4263097746956,"OH","Hamilton","Cincinnati","California","199824"
27,4,270004,39.0579474788004,-84.4285689844203,"OH","Hamilton","Cincinnati","California","199824"
20,5,200005,39.0601813091555,-84.4127545193946,"OH","Hamilton","Cincinnati","California","199824"
21,5,210005,39.060183750037,-84.4150137282322,"OH","Hamilton","Cincinnati","California","199824"
22,5,220005,39.0601861473315,-84.4172729372247,"OH","Hamilton","Cincinnati","California","199824"
23,5,230005,39.060188501039,-84.4195321463691,"OH","Hamilton","Cincinnati","California","199824"
24,5,240005,39.0601908111594,-84.4217913556628,"OH","Hamilton","Cincinnati","California","199824"
25,5,250005,39.0601930776927,-84.424050565103,"OH","Hamilton","Cincinnati","California","199824"
26,5,260005,39.060195300639,-84.4263097746868,"OH","Hamilton","Cincinnati","California","199824"
27,5,270005,39.0601974799982,-84.4285689844115,"OH","Hamilton","Cincinnati","California","199824"
19,6,190006,39.0624288255759,-84.4104953107068,"OH","Hamilton","Cincinnati","California","199824"
20,6,200006,39.0624313100856,-84.4127545193866,"OH","Hamilton","Cincinnati","California","199824"
21,6,210006,39.0624337510075,-84.4150137282241,"OH","Hamilton","Cincinnati","California","199824"
22,6,220006,39.0624361483416,-84.4172729372163,"OH","Hamilton","Cincinnati","California","199824"
23,6,230006,39.062438502088,-84.4195321463607,"OH","Hamilton","Cincinnati","California","199824"
24,6,240006,39.0624408122465,-84.4217913556542,"OH","Hamilton","Cincinnati","California","199824"
25,6,250006,39.0624430788173,-84.4240505650943,"OH","Hamilton","Cincinnati","California","199824"
26,6,260006,39.0624453018003,-84.426309774678,"OH","Hamilton","Cincinnati","California","199824"
27,6,270006,39.0624474811954,-84.4285689844026,"OH","Hamilton","Cincinnati","California","199824"
28,6,280006,39.0624496170028,-84.4308281942653,"OH","Hamilton","Cincinnati","California","199824"
18,7,180007,39.0646762983256,-84.4082361021797,"OH","Hamilton","Cincinnati","California","199824"
19,7,190007,39.0646788264647,-84.4104953106989,"OH","Hamilton","Cincinnati","California","199824"
20,7,200007,39.0646813110154,-84.4127545193786,"OH","Hamilton","Cincinnati","California","199824"
21,7,210007,39.0646837519776,-84.4150137282159,"OH","Hamilton","Cincinnati","California","199824"
22,7,220007,39.0646861493513,-84.417272937208,"OH","Hamilton","Cincinnati","California","199824"
23,7,230007,39.0646885031365,-84.4195321463522,"OH","Hamilton","Cincinnati","California","199824"
24,7,240007,39.0646908133332,-84.4217913556457,"OH","Hamilton","Cincinnati","California","199824"
25,7,250007,39.0646930799414,-84.4240505650856,"OH","Hamilton","Cincinnati","California","199824"
26,7,260007,39.0646953029611,-84.4263097746692,"OH","Hamilton","Cincinnati","California","199824"
27,7,270007,39.0646974823923,-84.4285689843938,"OH","Hamilton","Cincinnati","California","199824"
28,7,280007,39.0646996182349,-84.4308281942564,"OH","Hamilton","Cincinnati","California","199824"
17,8,170008,39.0669237274022,-84.4059768938162,"OH","Hamilton","Cincinnati","California","199824"
18,8,180008,39.0669262991723,-84.408236102172,"OH","Hamilton","Cincinnati","California","199824"
19,8,190008,39.0669288273532,-84.4104953106911,"OH","Hamilton","Cincinnati","California","199824"
20,8,200008,39.0669313119448,-84.4127545193706,"OH","Hamilton","Cincinnati","California","199824"
21,8,210008,39.0669337529473,-84.4150137282077,"OH","Hamilton","Cincinnati","California","199824"
22,8,220008,39.0669361503606,-84.4172729371997,"OH","Hamilton","Cincinnati","California","199824"
23,8,230008,39.0669385041847,-84.4195321463438,"OH","Hamilton","Cincinnati","California","199824"
24,8,240008,39.0669408144195,-84.4217913556371,"OH","Hamilton","Cincinnati","California","199824"
25,8,250008,39.0669430810651,-84.4240505650769,"OH","Hamilton","Cincinnati","California","199824"
26,8,260008,39.0669453041215,-84.4263097746605,"OH","Hamilton","Cincinnati","California","199824"
27,8,270008,39.0669474835886,-84.4285689843849,"OH","Hamilton","Cincinnati","California","199824"
28,8,280008,39.0669496194665,-84.4308281942475,"OH","Hamilton","Cincinnati","California","199824"
17,9,170009,39.0691737282062,-84.4059768938088,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
18,9,180009,39.0691763000187,-84.4082361021644,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
19,9,190009,39.0691788282413,-84.4104953106832,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
20,9,200009,39.069181312874,-84.4127545193626,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
21,9,210009,39.0691837539167,-84.4150137281995,"OH","Hamilton","Cincinnati","Mt. Washington","274624"
22,9,220009,39.0691861513696,-84.4172729371914,"OH","Hamilton","Cincinnati","California","199824"
23,9,230009,39.0691885052325,-84.4195321463353,"OH","Hamilton","Cincinnati","California","199824"
24,9,240009,39.0691908155054,-84.4217913556285,"OH","Hamilton","Cincinnati","California","199824"
25,9,250009,39.0691930821884,-84.4240505650683,"OH","Hamilton","Cincinnati","California","199824"
26,9,260009,39.0691953052815,-84.4263097746517,"OH","Hamilton","Cincinnati","California","199824"
27,9,270009,39.0691974847846,-84.4285689843761,"OH","Hamilton","Cincinnati","California","199824"
