cell_id,min_walk_score,max_walk_score,mean_walk_score,med_sale_pbo_n,log_sum_cost_pedestrian_events,log_num_near_misses,log_n_rqst,log_access,log_dblprk,log_dnotyld,log_jywalk,log_lvisib,log_lwfws,log_nobikef,log_noswlk,log_other,log_prkint,log_prkswlk,log_speed,log_vrrlss,log_wlksig,log_xwalk,log_assist,log_bikes,log_drives,log_other.1,log_walks,log_num_walk_scores,log_sum_lane_cnt,log_sum_width,log_sum_area,log_num_streets,log_num_fire_incd,log_med_sale_res_y,log_med_sale_res_n,log_med_sale_com_y,log_med_sale_com_n,log_med_sale_ind_y,log_med_sale_ind_n,log_med_sale_pbo_y,log_sum_cost.y,log_num_events.y,log_dist,log_n_object,log_animals_insects,log_building.related,log_construction,log_food,log_others,log_police.property,log_service.complaint,log_street_sidewalk,log_traffic_sig0l,log_trash,log_trees_plants,log_water.leak,log_zoning_parking,log_n_request
20012,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,5.703782808,8.162801382,14.76715067,4.955827762,-9.210340372,11.87374705,11.36981693,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.718544406,2.484914983,-4.913800141,2.484914983,1.386319361,1.945924435,-9.210340372,-9.210340372,4.330734656,1.945924435,1.00E-04,3.66356421,1.00E-04,5.645447251,1.609457912,-9.210340372,1.609457912,6.059123429
20013,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,5.214936301,7.699842453,14.68385481,4.521789664,-9.210340372,11.860938,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,2.310761574,1.00E-04,-5.249281709,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,1.098645621,-9.210340372,3.178057997,1.00E-04,-9.210340372,-9.210340372,3.367299278
20015,44,48,46,0,-1.190398684,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.386319361,3.688881954,10.34534888,1.00E-04,-9.210340372,11.99154809,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.697048496,1.386319361,-6.057750514,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.693197179,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.098645621
20016,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.248496671,6.568078052,12.19250097,3.555350919,-9.210340372,13.11974997,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-1.190398684,1.00E-04,-5.813172096,2.484914983,-9.210340372,0.693197179,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.098645621
20019,13,13,13,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,4.143136314,6.376727118,11.81502067,3.0445272,-9.210340372,12.40848682,11.74110432,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-4.828106009,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.386319361,1.00E-04,-9.210340372,3.713574506,1.00E-04,-9.210340372,-9.210340372,3.850149729
20020,44,48,46,0,-9.210340372,-9.210340372,1.00E-04,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,4.532600568,6.736967077,13.36038924,3.178057997,-9.210340372,12.01828357,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-4.623158612,2.484914983,-9.210340372,1.00E-04,-9.210340372,-9.210340372,2.397904364,-9.210340372,-9.210340372,1.609457912,-9.210340372,3.806664712,-9.210340372,-9.210340372,1.00E-04,4.143136314
20021,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.553877944,6.684611853,12.80413412,3.465739028,-9.210340372,11.99154809,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.409367251,1.098645621,-4.442705053,2.484914983,-9.210340372,0.693197179,-9.210340372,-9.210340372,2.708056868,-9.210340372,0.693197179,0.693197179,-9.210340372,4.382027885,-9.210340372,-9.210340372,1.00E-04,4.624973794
20022,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,2.079454042,4.330734656,10.5278472,1.098645621,-9.210340372,11.99154809,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-4.28960929,2.484914983,-9.210340372,0.693197179,-9.210340372,-9.210340372,1.386319361,0.693197179,1.00E-04,1.098645621,-9.210340372,4.304066445,1.609457912,-9.210340372,-9.210340372,4.510860605
30012,3,36,24.33333333,0,-0.497415937,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,1.098645621,5.65599216,8.072155339,13.76924879,4.812185168,-9.210340372,11.78192536,11.51132418,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.409367251,1.098645621,-4.963575913,2.484914983,-9.210340372,2.079454042,-9.210340372,-9.210340372,3.82864357,1.386319361,1.00E-04,2.772594972,-9.210340372,5.283204236,0.693197179,-9.210340372,-9.210340372,5.613128471
30013,35,35,35,0,-9.210340372,-9.210340372,0.693197179,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.693197179,1.00E-04,5.247024598,7.708859646,13.27553243,4.499810781,-9.210340372,11.93789904,11.48621181,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.003903796,0.693197179,-5.352157902,2.484914983,-9.210340372,0.693197179,-9.210340372,-9.210340372,3.0445272,-9.210340372,0.693197179,0.693197179,-9.210340372,4.499810781,1.098645621,-9.210340372,-9.210340372,4.787492576
30014,44,48,46,0,-9.210340372,-9.210340372,1.386319361,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,1.00E-04,-9.210340372,-9.210340372,1.00E-04,1.00E-04,-9.210340372,-9.210340372,-9.210340372,1.00E-04,-9.210340372,-9.210340372,1.098645621,-9.210340372,3.583521716,5.834811029,12.17375088,2.397904364,-9.210340372,11.90215278,11.44467832,12.23572853,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.697048496,1.386319361,-5.996286554,2.484914983,1.00E-04,1.098645621,-9.210340372,-9.210340372,2.302595093,-9.210340372,0.693197179,1.945924435,-9.210340372,4.143136314,1.00E-04,0.693197179,1.00E-04,4.499810781
30015,44,48,46,0,-1.190398684,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.820282372,7.156176715,13.44228657,3.43399043,-9.210340372,11.86429124,11.1159641,12.07261554,-9.210340372,-9.210340372,-9.210340372,-9.210340372,5.844408102,3.610920615,-8.335180016,2.484914983,-9.210340372,1.386319361,-9.210340372,1.098645621,3.218879825,-9.210340372,0.693197179,3.218879825,-9.210340372,4.262681285,1.098645621,1.00E-04,-9.210340372,4.897840546
30016,41,41,41,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.00E-04,4.92725441,7.371489358,13.98853654,4.060444735,-9.210340372,12.92141634,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,4.70864783,2.397904364,-6.3780869,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372
30017,44,48,46,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.9702938,6.333279806,12.5589805,-9.210340372,-9.210340372,11.99154809,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-5.785196347,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372
30018,17,20,18.5,0,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.693197179,5.918894123,8.152486105,14.07033106,4.820282372,-9.210340372,12.40774943,11.76840454,-9.210340372,-9.210340372,-9.210340372,-9.210340372,-9.210340372,3.003903796,0.693197179,-5.332374999,2.484914983,-9.210340372,-9.210340372,-9.210340372,-9.210340372,1.098645621,-9.210340372,1.00E-04,1.098645621,-9.210340372,4.110875504,-9.210340372,-9.210340372,-9.210340372,4.219509176
