CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,ADDRESS,COMMUNITY,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,POTHOLES_REPAIRED,STREET_NO,STREET_DIRECTION,STREET_NAME,DEPARTMENT,USERGRPTITLE,GROUPID,GROUPDESC
SR18078766,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 8/20/2018  2) What was the time of day when the incident occurred? 11a.m.  3) What was the type of incident? Close call  4) Which street were you crossing? startford  5) What direction were you headed? East  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? South  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Cars do always stop for pedestrians crossing street @ crosswalk marked by sign only. Have witnessed many close calls  12) Please provide any additional information that may help us serve you. Stratford Ave. crossings @ the oval are only marked by signs. One is almost completely blocked from view by city tree. Both sides of oval absolutely need crosswalks painted on roadway to protect students and residents of area from speeding vehicles ,20/08/2018 00:00:00,11:27:00,2630 STRATFORD AV CINC - GJ1421834235,2630 STRATFORD AV,HEIGHTS,29,STANDARD,INTERNET,10100030021,20/08/2018 00:00:00,CCSRWEB,21/08/2018 00:00:00,,20/08/2018 00:00:00,20/08/2018 00:00:00,,1394911,418472,0,2630,  ,STRATFORD AV                    ,DOTE,,2842,DOTE-DEFAULT
SR18068816,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 7/30/2018  2) What was the time of day when the incident occurred? 12:30  3) What was the type of incident? Close call  4) Which street were you crossing? Eggleston   5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? North  9) What was the other party's intended movement? Turning left  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Crossing in crosswalk car turning left from Pete rose way didn��?t slow down or stop to make left hand turn.  Stopped in crosswalk ,20/07/2018 00:00:00,13:59:00,E PETE ROSE WY & EGGLESTON AV,732 E 3RD ST,CBD/RIVERFRONT,6,STANDARD,INTERNET,8400060048,20/07/2018 00:00:00,MOBILE,21/07/2018 00:00:00,,20/07/2018 00:00:00,20/07/2018 00:00:00,,1400844,407919,0,732,E ,3RD ST                          ,DOTE,,2842,DOTE-DEFAULT
SR18062647,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 7/3/18  2) What was the time of day when the incident occurred? 8:01am  3) What was the type of incident? Close call  4) Which street were you crossing? Madison Ave  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? East  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. while I was in the middle of the crosswalk car sped from the west and braked right before the crosswalk honking his horn  12) Please provide any additional information that may help us serve you. Cars speed through this intersection everyday without regard to pedestrians in the crosswalk.  additional safety measures needed ,03/07/2018 00:00:00,08:25:00,3212 MADISON RD CINC - GJ2233037153,3212 MADISON RD,OAKLEY,53,STANDARD,INTERNET,5000020167,03/07/2018 00:00:00,CCSRWEB,04/07/2018 00:00:00,,03/07/2018 00:00:00,03/07/2018 00:00:00,,1422110,426574,0,3212,  ,MADISON RD                      ,DOTE,,2842,DOTE-DEFAULT
SR18056944,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? June 14th 2018  2) What was the time of day when the incident occurred? 7:00 P.M.  3) What was the type of incident? Close call  4) Which street were you crossing? I wasn��?t. I was outside of my apertment complex on Dryden Avenue getting groceries out of my mothers car and giving her a kiss on the cheek.   5) What direction were you headed? East  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Heavy truck (semi construction truck)  8) In what direction was the other party headed? North  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. I was getting groceries or of my mothers car and I leaned in to her door to give her a kiss on the cheek. All of a sudden a white box truck starts speeding up Dryden. The driver honked once about a foot away from then immediately sped up. As he passed me I could literally feel the truck grazing my shirt. I tried to get his license plate but there was no license plate on the box truck. I then saw him laughing out his wing mirror so I flipped him off. There was also another witness who was mowing his grass and came over to make sure I was okay  12) Additional Comments? We live on a street with numerous kids and this situation was extremely dangerous and scary. I didn��?t want to call the cops as he seemed like a mid twenty year old.  ,15/06/2018 00:00:00,08:51:00,6091 DRYDEN AV CINC - GJ2280240332,6091 DRYDEN AV,PLEASANT RIDGE,"57,01",STANDARD,INTERNET,12500020083,15/06/2018 00:00:00,MOBILE,16/06/2018 00:00:00,,15/06/2018 00:00:00,15/06/2018 00:00:00,,1424179,436912,0,6091,  ,DRYDEN AV                       ,DOTE,,2842,DOTE-DEFAULT
SR18052066,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 6/3/18  2) What was the time of day when the incident occurred? 9:00  3) What was the type of incident? Close call  4) Which street were you crossing? Court st  5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. I was crossing the street and a car was speeding and didn��?t notice me   12) Additional Comments? A painted crosswalk would help in this area. Also a must yield sign would be great to help with this issue.  ,03/06/2018 00:00:00,21:15:00,E COURT ST & REEDY ST,838 REEDY ST,CBD/RIVERFRONT,11,STANDARD,INTERNET,7900050062,03/06/2018 00:00:00,MOBILE,04/06/2018 00:00:00,,03/06/2018 00:00:00,03/06/2018 00:00:00,,1399573,409463,0,838,  ,REEDY ST                        ,DOTE,,2842,DOTE-DEFAULT
SR18045111,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 05/15/18  2) What was the time of day when the incident occurred? 1700  3) What was the type of incident? Close call  4) Which street were you crossing? 8 east mending way - crosswalk  5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? Yes  11) Describe the incident as specifically as possible. the crosswalk at 8 east mehring way is the most dangerous crosswalk I have ever witnessed.  vehicles rarely if ever stop or even slow for pedestrians trying to use crosswalk  12) Additional Comments? I have had the occasion to watch the crosswalk for entended periods of time and cars have nearly struck multiple pedestrians and the condition is getting worse ,15/05/2018 00:00:00,18:01:00,50 E FREEDOM WY CINC - GJ1522530559,50 E FREEDOM WY,CBD/RIVERFRONT,6,STANDARD,INTERNET,8300070014,15/05/2018 00:00:00,MOBILE,16/05/2018 00:00:00,,15/05/2018 00:00:00,15/05/2018 00:00:00,,1397758,406129,0,50,E ,FREEDOM WY                      ,DOTE,,2842,DOTE-DEFAULT
SR18042106,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 5/8/18  2) What was the time of day when the incident occurred? 7:45am  3) What was the type of incident? Close call  4) Which street were you crossing? Observatory  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? East  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. My kids and I use this crosswalk multiple times every school day to get to Hyde Park School. They have grown used to not having vehicles stop here for us to cross. This morning myself and another adult were crossing with my daughter. As there was no westbound traffic we entered the crosswalk and watched as 3 cars passed by without stopping while we were just a step from the yellow center stripe. My daughter took a small step forward and the forth car swerved toward the curb instead of stopping to let us pass. The fifth car finally stopped but it shouldn��?t have gotten that far. The swerve had scared my daughter I tears and I had to carry her the rest of the way home. At the least one of the signs in the middle of the road should be placed at this crosswalk similar to what is at observatory and Michigan. ,08/05/2018 00:00:00,08:25:00,2838 OBSERVATORY AV CINC - GJ2149835153,2838 OBSERVATORY AV,HYDE PARK,50,STANDARD,INTERNET,4000060041,08/05/2018 00:00:00,MOBILE,09/05/2018 00:00:00,,08/05/2018 00:00:00,08/05/2018 00:00:00,,1419060,420156,0,2838,  ,OBSERVATORY AV                  ,DOTE,,2842,DOTE-DEFAULT
SR18041986,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? Multiple incidents  2) What was the time of day when the incident occurred? Varies  3) What was the type of incident? Close call  4) Which street were you crossing? Gano  5) What type of other vehicle was involved? Heavy truck (semi construction truck)  6) Describe the incident as specifically as possible. I am interested in following up on the installation of a bollards on Gano in front of Nicholson's side patio doors  7) Please provide any additional information that may help us serve you. I work for Towne Properties. I apologize if this is the incorrect department. My predecessor had been working on this project and passed away. I am trying to determine who I need to speak to regarding the installation of a bollard(s) on Gano outside Nicholson's patio doors. If someone could point me in the right direction I would appreciate it.Thank you. ,07/05/2018 00:00:00,16:28:00,623 WALNUT ST CINC - GJ1514231182,623 WALNUT ST,CBD/RIVERFRONT,7,STANDARD,INTERNET,7700020152,07/05/2018 00:00:00,CCSRWEB,08/05/2018 00:00:00,,07/05/2018 00:00:00,07/05/2018 00:00:00,,1397570,408198,0,623,  ,WALNUT ST                       ,DOTE,,2842,DOTE-DEFAULT
SR18041664,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? Sidewalk closed and pedestrian barrier wasn��?t installed because CJ at 3CDC (project manager) is cheap and neglecting the safety of individuals. A temporary pedestrian barrier should be required. Titan is the subcontractors   2) What was the time of day when the incident occurred? Happening multiple times since last week  3) What was the type of incident? Close call  4) Which street were you crossing? 15th at Race  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? South  9) What was the other party's intended movement? Turning right  10) Did you report the incident to the Cincinnati Police? No ,07/05/2018 00:00:00,10:12:00,1500 RACE ST CINC - GJ1467632100,1500 RACE ST,OVER-THE-RHINE,9,STANDARD,INTERNET,8100040015,07/05/2018 00:00:00,MOBILE,08/05/2018 00:00:00,,07/05/2018 00:00:00,07/05/2018 00:00:00,,1396213,411269,0,1500,  ,RACE ST                         ,DOTE,,2842,DOTE-DEFAULT
SR18041106,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? May 4 2018  2) What was the time of day when the incident occurred? 15:00  3) What was the type of incident? Close call  4) Which street were you crossing? Griffiths  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? North  9) What was the other party's intended movement? Turning left  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Vehicle failed to stop for pedestrian crossing ,04/05/2018 00:00:00,15:02:00,GRIFFITHS AV & MICHIGAN AV,3580 MICHIGAN AV,HYDE PARK,50,STANDARD,INTERNET,4100010032,04/05/2018 00:00:00,MOBILE,05/05/2018 00:00:00,,04/05/2018 00:00:00,04/05/2018 00:00:00,,1417964,421925,0,3580,  ,MICHIGAN AV                     ,DOTE,,2842,DOTE-DEFAULT
