CSR,lat,long,accuracy
SR18078766,39.1308705,-84.5221352,street_address
SR18068816,39.1027252,-84.5011852,street_address
SR18062647,39.1552665,-84.4269984,premise
SR18056944,39.1837159,-84.4204466,premise
SR18052066,39.1068873,-84.5051633,premise
SR18045111,39.0976654,-84.5113225,premise
SR18042106,39.1373301,-84.4370825,premise
SR18041986,39.1033235,-84.511853,street_address
SR18041664,39.1116232,-84.5170782,premise
SR18041106,39.1422759,-84.4414662,street_address
SR18041027,39.1526219,-84.4314215,premise
SR18038626,39.1181563,-84.5227923,premise
SR18036480,39.1408107,-84.4189235,premise
SR18036166,39.1115337,-84.5039683,premise
SR18035146,39.1105234,-84.5670128,street_address
SR18033783,39.1276553,-84.5189005,street_address
SR18032462,39.1080736,-84.5669098,premise
SR18026037,39.1300734,-84.5109187,street_address
SR18025282,39.137441,-84.43745,street_address
SR18023308,39.1426188,-84.4600697,premise
SR18017994,39.1783624,-84.5464317,street_address
SR18006490,39.1395983,-84.5032227,street_address
SR18006155,39.125361,-84.434716,street_address
SR18002599,39.1449339,-84.439733,premise
SR17104516,39.1106377,-84.5705932,premise
SR17101395,39.1380237,-84.4414305,premise
SR17099540,39.0965611,-84.3872211,street_address
SR17094210,39.158204,-84.4178007,premise
SR17093592,39.1369539,-84.4372671,premise
SR17093287,39.1127606,-84.510636,street_address
SR17084469,39.1380227,-84.5098886,premise
SR17084383,39.1105254,-84.4330829,premise
SR17082348,39.0965611,-84.3872211,street_address
SR17082337,39.1271857,-84.5363076,street_address
SR17081829,39.1204399,-84.4368191,premise
SR17076258,39.1502703,-84.534219,premise
SR17075471,39.180855,-84.430842,street_address
SR17073277,39.124042,-84.5321,street_address
SR17071693,39.1373301,-84.4370825,premise
SR17070106,39.1513609,-84.4319137,premise
SR17068939,39.1406241,-84.5994297,premise
SR17068177,39.1307384,-84.5107234,street_address
SR17067872,39.1774255,-84.4277661,premise
SR17067864,39.1045569,-84.5186143,street_address
SR17066711,39.0965611,-84.3872211,street_address
SR17065107,39.128011,-84.4157167,premise
SR17063705,39.0955039,-84.3874644,premise
SR17061301,39.1201309,-84.4884693,street_address
SR17059900,39.182284,-84.4274139,street_address
SR17059379,39.182284,-84.4274139,street_address
SR17057537,39.1406227,-84.4160766,premise
SR17056148,39.1821251,-84.4270594,street_address
SR17052581,39.1768571,-84.4388803,premise
SR17044367,39.137441,-84.43745,street_address
SR17040986,39.1369186,-84.4364811,premise
SR17038546,39.1882537,-84.4301261,premise
SR17036512,39.1399426,-84.4435404,street_address
SR17036503,39.1399426,-84.4435404,street_address
SR17036421,39.176471,-84.520203,street_address
SR17035745,39.1312456,-84.4221289,premise
SR17034609,39.1450376,-84.4298827,street_address
SR17033916,39.1398937,-84.4422002,street_address
SR17033065,39.1373301,-84.4370825,premise
SR17032973,39.1769778,-84.551232,premise
SR17030956,39.182284,-84.4274139,street_address
SR17030943,39.182284,-84.4274139,street_address
SR17028010,39.1373592,-84.4372671,street_address
SR17027694,39.1373592,-84.4372671,street_address
SR17026608,39.1369539,-84.4372671,premise
SR17025838,39.1461161,-84.4303598,premise
SR17025212,39.1423289,-84.502883,street_address
SR17024638,39.1391075,-84.5010796,establishment
SR17024380,39.1449261,-84.4326665,premise
SR17023231,39.1391075,-84.5010796,establishment
SR17021907,39.1373301,-84.4370825,premise
SR17021845,39.1367215,-84.4266478,premise
SR17020429,39.1372375,-84.4414949,premise
SR17020390,39.1416483,-84.4234233,premise
SR17020389,39.1397092,-84.4398788,premise
SR17020247,39.1510716,-84.4328983,premise
SR17020178,39.1372375,-84.4414949,premise
SR17020037,39.1681,-84.5361393,premise
SR17019235,39.1132992,-84.5093867,premise
SR17018992,39.1392976,-84.4422338,street_address
