"srvy_address"|"strsegid"|"geo_address"|"lat"|"long"|"geo_address_type"|"geo_accuracy"
"RIDGETOP WY & OAKTREE PL, Cincinnati, OH, USA"|"2516573751825174787628"|"RIDGETOP WY & OAKTREE PL, Cincinnati, OH, USA"|39.127624|-84.583593|"locality,political"|"locality"
"CENTRAL AV & W 8TH ST, Cincinnati, OH, USA"|"3315247840033153148042"|"CENTRAL AV & W 8TH ST, Cincinnati, OH, USA"|39.103705|-84.520253|"locality,political"|"locality"
"CENTRAL AV & W 9TH ST, Cincinnati, OH, USA"|"3315192865633153438678"|"CENTRAL AV & W 9TH ST, Cincinnati, OH, USA"|39.10489|-84.51726|"locality,political"|"locality"
"CENTRAL AV & W 7TH ST, Cincinnati, OH, USA"|"3313997791233153148042"|"CENTRAL AV & W 7TH ST, Cincinnati, OH, USA"|39.103148|-84.517252|"locality,political"|"locality"
"WOOLPER AV & MCALPIN AV, Cincinnati, OH, USA"|"3275178531032761205201"|"WOOLPER AV & MCALPIN AV, Cincinnati, OH, USA"|39.150234|-84.51845|"locality,political"|"locality"
"MORTEN ST & OBSERVATORY AV, Cincinnati, OH, USA"|"4077751020640781120167"|"MORTEN ST & OBSERVATORY AV, Cincinnati, OH, USA"|39.137381|-84.440589|"locality,political"|"locality"
"KIRBY AV & BRUCE AV, Cincinnati, OH, USA"|"2988295271429883721689"|"KIRBY AV & BRUCE AV, Cincinnati, OH, USA"|39.192758|-84.567595|"locality,political"|"locality"
"VINE ST & NIXON ST, Cincinnati, OH, USA"|"3388570073933886361744"|"VINE ST & NIXON ST, Cincinnati, OH, USA"|39.191702|-84.482892|"locality,political"|"locality"
"VINE ST & JEFFERSON AV, Cincinnati, OH, USA"|"3388597991833887619909"|"VINE ST & JEFFERSON AV, Cincinnati, OH, USA"|39.114419|-84.516319|"locality,political"|"locality"
"EDEN AV & GOODMAN ST, Cincinnati, OH, USA"|"3389718039633897861051"|"EDEN AV & GOODMAN ST, Cincinnati, OH, USA"|39.139709|-84.505136|"locality,political"|"locality"
