sample_index,x-tsne,y-tsne,cell_id,lat,long,min_walk_score,max_walk_score,mean_walk_score,med_sale_pbo_n,log_sum_cost_pedestrian_events,log_num_near_misses,log_n_rqst,log_access,log_dblprk,log_dnotyld,log_jywalk,log_lvisib,log_lwfws,log_nobikef,log_noswlk,log_other,log_prkint,log_prkswlk,log_speed,log_vrrlss,log_wlksig,log_xwalk,log_assist,log_bikes,log_drives,log_other.1,log_walks,log_num_walk_scores,log_sum_lane_cnt,log_sum_width,log_sum_area,log_num_streets,log_num_fire_incd,log_med_sale_res_y,log_med_sale_res_n,log_med_sale_com_y,log_med_sale_com_n,log_med_sale_ind_y,log_med_sale_ind_n,log_med_sale_pbo_y,log_sum_cost.y,log_num_events.y,log_dist,log_n_object,log_animals_insects,log_building.related,log_construction,log_food,log_others,log_police.property,log_service.complaint,log_street_sidewalk,log_traffic_sig0l,log_trash,log_trees_plants,log_water.leak,log_zoning_parking,log_n_request,avg_pop(K),avg_request,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,kmeans_10,kmeans_11,kmeans_labels
1,-2.262177495,10.36885632,20012,39.07587992,-84.37208879,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,5.703815807,8.162804204,14.76715068,4.955897478,-4.605170186,11.87374712,11.36981704,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,4.718632791,2.485739636,-4.060260577,2.485739636,1.388791241,1.947337701,-4.605170186,-4.605170186,4.330864911,1.947337701,0.009950331,3.663818024,0.009950331,5.645482233,1.611435915,-4.605170186,1.611435915,6.05914656,55.24,8,1,2,0,1,2,4,7,3,2,2,2
2,3.190673657,0.450264562,20013,39.07812992,-84.37208879,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,5.214990104,7.699846936,14.68385481,4.521897267,-4.605170186,11.86093807,11.76840462,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,2.311743031,0.009950331,-4.189669668,2.485739636,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,1.101940079,-4.605170186,3.17847041,0.009950331,-4.605170186,-4.605170186,3.367640598,55.24,1,0,0,1,3,0,3,2,7,0,4,0
3,2.969591847,-1.253091216,20015,39.08262992,-84.37208879,44,48,46,0,-1.158362293,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,1.388791241,3.689129423,10.3453492,0.009950331,-4.605170186,11.99154816,11.76840462,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.697293953,1.388791241,-4.403073943,2.485739636,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.698134722,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,1.101940079,55.24,0,0,0,1,3,0,3,2,7,0,4,0
4,4.483464907,-1.076886297,20016,39.08487992,-84.37208879,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,4.248638089,6.568091956,12.19250102,3.555633735,-4.605170186,13.11974999,11.76840462,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-1.158362293,0.009950331,-4.351463521,2.485739636,-4.605170186,0.698134722,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,1.101940079,55.24,0,0,0,1,3,0,3,2,7,0,4,0
5,-3.978866554,-5.301805679,20019,39.09162992,-84.37208879,13,13,13,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,4.143293444,6.376743955,11.81502074,3.044998515,-4.605170186,12.40848686,11.7411044,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.022861721,2.485739636,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,1.388791241,0.009950331,-4.605170186,3.713815939,0.009950331,-4.605170186,-4.605170186,3.850360345,55.24,1,1,1,3,4,5,5,6,4,4,3,1
6,-4.845057067,5.303816362,20020,39.09387992,-84.37208879,44,48,46,0,-4.605170186,-4.605170186,0.009950331,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,4.532707014,6.73697882,13.36038925,3.17847041,-4.605170186,12.01828363,11.76840462,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-3.92603451,2.485739636,-4.605170186,0.009950331,-4.605170186,-4.605170186,2.398803951,-4.605170186,-4.605170186,1.611435915,-4.605170186,3.806884687,-4.605170186,-4.605170186,0.009950331,4.143293444,55.24,1,1,2,0,2,4,1,4,1,8,1,2
7,-1.216001573,9.391153552,20021,39.09612992,-84.37208879,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,4.553982149,6.684624228,12.80413415,3.466048354,-4.605170186,11.99154816,11.76840462,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.409694512,1.101940079,-3.832100013,2.485739636,-4.605170186,0.698134722,-4.605170186,-4.605170186,2.708716646,-4.605170186,0.698134722,0.698134722,-4.605170186,4.382151627,-4.605170186,-4.605170186,0.009950331,4.625070848,55.24,2,1,2,0,1,2,4,7,3,2,2,2
8,-4.734834285,5.471862998,20022,39.09837992,-84.37208879,44,48,46,0,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,2.080690761,4.330864911,10.52784747,1.101940079,-4.605170186,11.99154816,11.76840462,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-3.746073026,2.485739636,-4.605170186,0.698134722,-4.605170186,-4.605170186,1.388791241,0.698134722,0.009950331,1.101940079,-4.605170186,4.304200219,1.611435915,-4.605170186,-4.605170186,4.510969391,55.24,2,1,2,0,2,4,1,4,1,8,1,2
9,-3.203247453,-3.700709934,30012,39.07588315,-84.374348,3,36,24.33333333,0,-0.481266822,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,1.101940079,5.656026775,8.072158429,13.76924881,4.812265653,-4.605170186,11.78192543,11.51132428,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.409694512,1.101940079,-4.081158186,2.485739636,-4.605170186,2.080690761,-4.605170186,-4.605170186,3.828858764,1.388791241,0.009950331,2.773213527,-4.605170186,5.283254489,0.698134722,-4.605170186,-4.605170186,5.613164602,55.24,5,1,1,3,4,0,3,2,7,0,4,1
10,-3.490406761,3.560962216,30013,39.07813315,-84.374348,35,35,35,0,-4.605170186,-4.605170186,0.698134722,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,0.009950331,-4.605170186,-4.605170186,-4.605170186,-4.605170186,0.698134722,0.009950331,5.247076702,7.708864089,13.27553245,4.499920775,-4.605170186,11.9378991,11.48621191,-4.605170186,-4.605170186,-4.605170186,-4.605170186,-4.605170186,3.004394647,0.698134722,-4.22414013,2.485739636,-4.605170186,0.698134722,-4.605170186,-4.605170186,3.044998515,-4.605170186,0.698134722,0.698134722,-4.605170186,4.499920775,1.101940079,-4.605170186,-4.605170186,4.787575073,55.24,2,1,2,0,2,0,3,2,7,0,4,2
